source,Keyword,Avg. monthly searches,Three month change,YoY change,Competition
Keyword Stats 2026-09-05 at 08_02_52.csv,ai consultant for small business,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,business automation consultant,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,business growth advisor,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,business growth consultant,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,business growth partner,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,business growth strategy,500.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,business improvement consultant,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,business process improvement consultant,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,business strategy consultant,500.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,conversion rate optimisation consultant,500.0,0%,-90%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,customer acquisition consultant,50.0,-100%,-100%,
Keyword Stats 2026-09-05 at 08_02_52.csv,customer retention consultant,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,hospitality marketing agency,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,hospitality marketing consultant,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,how to attract customers to a pub,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,how to generate more enquiries,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,how to get more customers,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,how to grow a small business,500.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,how to increase business profits,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,how to increase pub food sales,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,how to increase pub sales,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,how to increase repeat customers,50.0,∞,0%,High
Keyword Stats 2026-09-05 at 08_02_52.csv,how to increase restaurant bookings,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,marketing consultant for small business,500.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,marketing strategy consultant,500.0,-90%,-90%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,professional services marketing agency,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,professional services marketing consultant,50.0,-100%,0%,
Keyword Stats 2026-09-05 at 08_02_52.csv,pub business consultant,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,pub marketing agency,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,pub marketing consultant,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,pub marketing services,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,restaurant marketing agency,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,restaurant marketing consultant,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,small business automation,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,small business consultant,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,small business growth consultant,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,small business strategy consultant,50.0,0%,0%,Low
Keyword Stats 2026-09-05 at 08_02_52.csv,sme business consultant,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,website conversion optimisation,50.0,0%,-90%,Medium
Keyword Stats 2026-09-05 at 08_02_52.csv,website traffic but no enquiries,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,why are my sales falling,,,,
Keyword Stats 2026-09-05 at 08_02_52.csv,why is my business not growing,50.0,∞,0%,Medium
Keyword Stats 2026-09-05 at 08_05_01.csv,business consultant for small businesses,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_05_01.csv,business development consultant,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_05_01.csv,business growth audit,50.0,0%,-100%,
Keyword Stats 2026-09-05 at 08_05_01.csv,business growth consultancy,50.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_05_01.csv,business growth consultant uk,,,,
Keyword Stats 2026-09-05 at 08_05_01.csv,business growth consulting services,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_05_01.csv,business growth plan,50.0,0%,-90%,Low
Keyword Stats 2026-09-05 at 08_05_01.csv,business growth services,500.0,0%,0%,Medium
Keyword Stats 2026-09-05 at 08_05_01.csv,business growth strategy consultant,50.0,0%,0%,Low
