Top queries,Clicks,Impressions,CTR,Position
pub ideas to make money,5,57,8.77%,10.19
quiz night ideas,2,40,5%,5.53
quiz night format,2,15,13.33%,20.67
cash bingo,1,83,1.2%,8.84
pub event ideas,1,38,2.63%,20.58
how to run a pub quiz,1,36,2.78%,12.69
pub quiz ideas,1,24,4.17%,7.33
ideas for macmillan coffee morning,1,22,4.55%,19.05
charity fundraising ideas for pubs,1,21,4.76%,4.38
wetherspoons competitors,1,8,12.5%,10.12
quiz format ideas,1,4,25%,7.5
national vodka day 2026,0,409,0%,7.16
cask ale week 2026,0,209,0%,6.21
pub bingo,0,181,0%,12.86
event ideas for pubs,0,145,0%,21.39
bingo in pubs,0,129,0%,12.1
pop up events for pubs,0,119,0%,28.13
how to organise events to attract families to pubs,0,74,0%,12.12
social media marketing for pubs,0,71,0%,16
charity night ideas in a pub,0,69,0%,9.67
pub marketing agency,0,67,0%,20.72
kids craft pop up events for pubs,0,65,0%,14.69
pub marketing,0,60,0%,31.58
family friendly activities to increase pub footfall,0,59,0%,44.15
when is national vodka day 2026,0,58,0%,6.79
pub fundraising ideas,0,51,0%,8.18
profitable menu items,0,51,0%,19.59
national vodka day,0,48,0%,13.81
vodka day 2026,0,47,0%,7.72
how to attract families to pubs,0,44,0%,6.57
when is national vodka day,0,41,0%,10.12
marketing agency for pubs,0,36,0%,31.11
instagram services for pubs,0,34,0%,15.24
christmas event ideas for pubs,0,34,0%,24.03
instagram for pubs,0,31,0%,16.52
christmas pub ideas,0,31,0%,17.39
fix my pub,0,29,0%,4.79
pun quiz calendar,0,29,0%,28.28
how to run a pub,0,29,0%,48.52
digital marketing for pubs,0,29,0%,50.86
fundraising ideas for pubs,0,28,0%,7.82
content creation for pubs,0,28,0%,12.93
cellar management,0,27,0%,15.07
pub advertising,0,27,0%,40.59
content creation services for pubs,0,26,0%,1.73
international vodka day 2026,0,26,0%,5.54
how to manage entertainment budgets for pubs,0,26,0%,8.12
autumn pub,0,26,0%,11.23
pub cellar maintenance,0,26,0%,29.85
how to create a pub menu,0,23,0%,31.96
paid social for pubs,0,22,0%,6.18
quiz event ideas,0,22,0%,12.55
pub night fundraising ideas,0,20,0%,11.9
pub cellar management,0,20,0%,12
pub maintenance,0,20,0%,85.4
facebook services for pubs,0,18,0%,10.22
charity coffee morning,0,18,0%,16.17
christmas pub events ideas,0,18,0%,16.17
oktoberfest ideas for bars,0,17,0%,4
how long do pub quizzes last,0,17,0%,10.94
brand partnerships for pubs,0,17,0%,17.35
how to manage a pub,0,17,0%,44.41
instagram marketing for pubs,0,16,0%,8.44
paid social services for pubs,0,15,0%,3.8
premiumisation in your pub,0,15,0%,5.47
world vodka day 2026,0,15,0%,5.73
national drink days 2026,0,15,0%,6
