run_id,finalised_at,cluster_id,window,clicks,impressions,ctr,position_weighted,evidence_tier,tags,action,priority_score,scenario_clicks_monthly,incident_flags,mapping_version,score_version
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0001,3m,0,2,0,6,B,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),investigate-visibility,37.5,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0001,gsc-16m-all,0,2,0,6,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0001,month,0,2,0,6,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0002,3m,0,5,0,7.8,B,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),investigate-visibility,37.5,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0002,gsc-16m-all,0,5,0,7.8,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0002,month,0,5,0,7.8,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0003,3m,,,,,D,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN,research,,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0003,gsc-16m-all,,,,,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0003,month,,,,,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0004,3m,0,1618,0,19.6528,B,STRIKING_DISTANCE_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),strengthen-page,32.0,not estimable,,2,2.1.0
