keyword_id,canonical_text,submitted_text,intent,brand_flag,eligibility,avoid_reason,avoid_scope,lifecycle,sources,primary_cluster_id,secondary_cluster_ids,first_seen_run,last_seen_run,notes
kw_000001,attract families to pub,attract families to pub,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000002,children's entertainment for pubs,children's entertainment for pubs,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000003,family friendly pub ideas,family friendly pub ideas,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000004,family pub marketing,family pub marketing,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000005,kids activities in pubs,kids activities in pubs,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000006,kids craft events pub,kids craft events pub,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000007,kids eat free pub,kids eat free pub,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000008,pub family day ideas,pub family day ideas,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000009,pub soft play area,pub soft play area,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000010,school holiday pub events,school holiday pub events,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000011,content creation for hospitality,content creation for hospitality,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000012,freelance pub marketing,freelance pub marketing,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000013,hospitality marketing agency uk,hospitality marketing agency uk,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000014,marketing for bars and restaurants,marketing for bars and restaurants,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000015,pub advertising services,pub advertising services,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000016,pub marketing agency,pub marketing agency,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000017,pub social media agency,pub social media agency,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000018,social media management for pubs,social media management for pubs,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000019,booking entertainment for pubs,booking entertainment for pubs,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000020,how much to pay a pub band,how much to pay a pub band,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000021,pub entertainment budget,pub entertainment budget,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000022,pub entertainment ideas,pub entertainment ideas,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000023,pub entertainment licence,pub entertainment licence,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000024,pub event roi,pub event roi,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000025,pub events calendar,pub events calendar,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000026,weekly pub event schedule,weekly pub event schedule,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000027,how to run a pub quiz,how to run a pub quiz,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000028,picture round ideas,picture round ideas,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000029,pub quiz answer sheet,pub quiz answer sheet,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000030,pub quiz format,pub quiz format,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000031,pub quiz prizes,pub quiz prizes,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000032,pub quiz question rounds,pub quiz question rounds,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000033,pub quiz round ideas,pub quiz round ideas,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000034,pub quiz scoring system,pub quiz scoring system,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000035,quiz night rules,quiz night rules,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000036,bingo equipment for pubs,bingo equipment for pubs,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000037,bingo licence uk pub,bingo licence uk pub,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000038,bingo night in pubs,bingo night in pubs,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000039,how to run bingo in a pub,how to run bingo in a pub,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000040,pub bingo,pub bingo,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000041,bar refurbishment cost,bar refurbishment cost,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000042,brewery refurbishment funding,brewery refurbishment funding,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000043,pub interior design,pub interior design,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000044,pub maintenance checklist,pub maintenance checklist,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000045,pub refit ideas,pub refit ideas,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000046,pub refurbishment cost uk,pub refurbishment cost uk,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000047,premiumisation hospitality,premiumisation hospitality,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000048,pub brand identity,pub brand identity,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000049,pub branding ideas,pub branding ideas,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000050,pub loyalty app,pub loyalty app,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000051,pub loyalty card scheme,pub loyalty card scheme,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
