page_id,url,canonical_url,status,page_type,redirect_from,title,h1,last_changed
pg_0001,https://www.orangejelly.co.uk/,https://www.orangejelly.co.uk/,live,home,,"Websites, Applications & AI for Business Growth | Orange Jelly",Websites and connected systems that grow your business.,2026-09-02
pg_0002,https://www.orangejelly.co.uk/solutions,https://www.orangejelly.co.uk/solutions,live,service-hub,,,,2026-09-02
pg_0003,https://www.orangejelly.co.uk/solutions/hospitality-websites,https://www.orangejelly.co.uk/solutions/hospitality-websites,live,service,,,,2026-09-05
pg_0004,https://www.orangejelly.co.uk/solutions/booking-systems,https://www.orangejelly.co.uk/solutions/booking-systems,live,service,,,,2026-09-05
pg_0005,https://www.orangejelly.co.uk/solutions/bespoke-applications,https://www.orangejelly.co.uk/solutions/bespoke-applications,live,service,,,,2026-09-05
pg_0006,https://www.orangejelly.co.uk/pub-marketing,https://www.orangejelly.co.uk/pub-marketing,live,sector,,,,2026-08-31
pg_0007,https://www.orangejelly.co.uk/sectors/professional-services,https://www.orangejelly.co.uk/sectors/professional-services,live,sector,,,,2026-08-31
pg_0008,https://www.orangejelly.co.uk/fractional-cmo,https://www.orangejelly.co.uk/fractional-cmo,live,service,,,,2026-08-31
pg_0009,https://www.orangejelly.co.uk/guides,https://www.orangejelly.co.uk/guides,live,content-hub,https://www.orangejelly.co.uk/licensees-guide,,,2026-08-31
pg_0010,https://www.orangejelly.co.uk/results,https://www.orangejelly.co.uk/results,live,proof,,,,2026-08-31
pg_0011,https://www.orangejelly.co.uk/insights,https://www.orangejelly.co.uk/insights,live,content-hub,,,,2026-09-02
pg_0012,https://www.orangejelly.co.uk/how-we-work,https://www.orangejelly.co.uk/how-we-work,live,about,,,,2026-08-31
pg_0013,https://www.orangejelly.co.uk/start-here,https://www.orangejelly.co.uk/start-here,live,entry,,,,2026-08-31
pg_0014,https://www.orangejelly.co.uk/about,https://www.orangejelly.co.uk/about,live,about,,,,2026-08-31
pg_0015,https://www.orangejelly.co.uk/contact,https://www.orangejelly.co.uk/contact,live,conversion,,,,2026-09-05
pg_0016,https://www.orangejelly.co.uk/growth-problems,https://www.orangejelly.co.uk/growth-problems,live,content-hub,,,,2026-09-05
