source_file,layout,batch,row,keyword_text,keyword_norm,currency,raw_volume,precision_mode,value_low,value_high,state,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,in_account,in_plan,window_start,window_end,location,language,network,lens,pulled_on,source_hash
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,3,attract families to pub,attract families to pub,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,4,children's entertainment for pubs,children's entertainment for pubs,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,5,family friendly pub ideas,family friendly pub ideas,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,6,family pub marketing,family pub marketing,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,7,kids activities in pubs,kids activities in pubs,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,8,kids craft events pub,kids craft events pub,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,9,kids eat free pub,kids eat free pub,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,10,pub family day ideas,pub family day ideas,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,11,pub soft play area,pub soft play area,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
raw/gkp-volumes-01-family-and-kids.csv,volumes,gkp-volumes-01,12,school holiday pub events,school holiday pub events,GBP,,encoded_band,,,absent,,,,,,,,,,2025-07-01,2026-06-30,United Kingdom,English,Google Search,country,2026-08-09,81b675c5a839ff51c85acb89a63a9567bd6ab9b27483b73aed8ce0ce541a016f
