cluster_id,window,window_start,window_end,named_queries,clicks,impressions,ctr,position_weighted,completeness,export_ids,page_id,page_clicks,page_impressions,page_truncated,unattributed_clicks,overlap_excluded_queries
cl_0001,gsc-16m-all,2025-08-01,2026-09-06,1,0,2,0,6,named-subset,gsc-16m-all,pg_0002,,,,,0
cl_0001,3m,2026-06-07,2026-09-06,1,0,2,0,6,named-subset,gsc-3m-all,pg_0002,,,,,0
cl_0001,month,2026-08-10,2026-09-06,1,0,2,0,6,named-subset,gsc-month-all,pg_0002,,,,,0
cl_0002,gsc-16m-all,2025-08-01,2026-09-06,2,0,5,0,7.8,named-subset,gsc-16m-all,pg_0004,,,,,0
cl_0002,3m,2026-06-07,2026-09-06,2,0,5,0,7.8,named-subset,gsc-3m-all,pg_0004,,,,,0
cl_0002,month,2026-08-10,2026-09-06,2,0,5,0,7.8,named-subset,gsc-month-all,pg_0004,,,,,0
cl_0003,gsc-16m-all,2025-08-01,2026-09-06,0,,,,,named-subset,,pg_0003,,,,,0
cl_0003,3m,2026-06-07,2026-09-06,0,,,,,named-subset,,pg_0003,,,,,0
cl_0003,month,2026-08-10,2026-09-06,0,,,,,named-subset,,pg_0003,,,,,0
cl_0004,gsc-16m-all,2025-08-01,2026-09-06,34,1,4655,0.000215,19.1629,named-subset,gsc-16m-all,pg_0006,0,153,false,,1
cl_0004,3m,2026-06-07,2026-09-06,28,0,1618,0,19.6528,named-subset,gsc-3m-q-cl_0004,pg_0006,0,153,false,,1
cl_0004,month,2026-08-10,2026-09-06,24,0,586,0,18.2087,named-subset,gsc-month-all,pg_0006,0,153,false,,1
cl_0005,gsc-16m-all,2025-08-01,2026-09-06,7,0,17,0,27.7641,named-subset,gsc-16m-all,pg_0008,,,,,0
cl_0005,3m,2026-06-07,2026-09-06,8,0,18,0,26.7772,named-subset,gsc-3m-all,pg_0008,,,,,0
cl_0005,month,2026-08-10,2026-09-06,8,0,18,0,26.7772,named-subset,gsc-month-all,pg_0008,,,,,0
cl_0006,gsc-16m-all,2025-08-01,2026-09-06,0,,,,,named-subset,,pg_0007,,,,,0
cl_0006,3m,2026-06-07,2026-09-06,0,,,,,named-subset,,pg_0007,,,,,0
cl_0006,month,2026-08-10,2026-09-06,0,,,,,named-subset,,pg_0007,,,,,0
cl_0007,gsc-16m-all,2025-08-01,2026-09-06,77,25,1282,0.019501,12.8631,named-subset,gsc-16m-all,pg_0019,0,2,false,,0
cl_0007,3m,2026-06-07,2026-09-06,71,15,687,0.021834,11.0993,named-subset,gsc-3m-q-cl_0007,pg_0019,0,2,false,,0
cl_0007,month,2026-08-10,2026-09-06,48,5,248,0.020161,9.6585,named-subset,gsc-month-all,pg_0019,0,2,false,,0
cl_0008,gsc-16m-all,2025-08-01,2026-09-06,12,6,1407,0.004264,10.9275,named-subset,gsc-16m-all,pg_0030,,,,,0
cl_0008,3m,2026-06-07,2026-09-06,12,6,1374,0.004367,10.9182,named-subset,gsc-3m-q-cl_0008,pg_0030,,,,,0
cl_0008,month,2026-08-10,2026-09-06,11,4,459,0.008715,9.0847,named-subset,gsc-month-all,pg_0030,,,,,0
cl_0009,gsc-16m-all,2025-08-01,2026-09-06,34,1,491,0.002037,18.3886,named-subset,gsc-16m-all,pg_0021,1,621,false,,0
cl_0009,3m,2026-06-07,2026-09-06,24,0,179,0,21.4907,named-subset,gsc-3m-q-cl_0009,pg_0021,0,157,false,,0
cl_0009,month,2026-08-10,2026-09-06,14,0,68,0,21.354,named-subset,gsc-month-all,pg_0021,0,77,false,,0
cl_0010,gsc-16m-all,2025-08-01,2026-09-06,29,11,4334,0.002538,21.94,named-subset,gsc-16m-all,pg_0031,0,10,false,,0
cl_0010,3m,2026-06-07,2026-09-06,28,4,1637,0.002443,23.2786,named-subset,gsc-3m-q-cl_0010,pg_0031,0,10,false,,0
cl_0010,month,2026-08-10,2026-09-06,18,3,595,0.005042,20.7062,named-subset,gsc-month-all,pg_0031,0,10,false,,0
cl_0011,gsc-16m-all,2025-08-01,2026-09-06,2,0,32,0,17.5,named-subset,gsc-16m-all,,,,,,0
cl_0011,3m,2026-06-07,2026-09-06,1,0,16,0,15.44,named-subset,gsc-3m-all,,,,,,0
cl_0011,month,2026-08-10,2026-09-06,0,,,,,named-subset,,,,,,,0
cl_0012,gsc-16m-all,2025-08-01,2026-09-06,4,1,300,0.003333,8.3238,named-subset,gsc-16m-all,pg_0017,0,1,false,,0
cl_0012,3m,2026-06-07,2026-09-06,3,0,148,0,7.6226,named-subset,gsc-3m-q-cl_0012,pg_0017,,,,,0
cl_0012,month,2026-08-10,2026-09-06,3,0,32,0,8.9041,named-subset,gsc-month-all,pg_0017,,,,,0
cl_0013,gsc-16m-all,2025-08-01,2026-09-06,3,1,47,0.021277,7.8323,named-subset,gsc-16m-all,pg_0024,0,9,false,,1
cl_0013,3m,2026-06-07,2026-09-06,2,0,11,0,7.3645,named-subset,gsc-3m-q-cl_0013,pg_0024,0,9,false,,1
cl_0013,month,2026-08-10,2026-09-06,2,0,9,0,6.6678,named-subset,gsc-month-all,pg_0024,0,9,false,,1
cl_0014,gsc-16m-all,2025-08-01,2026-09-06,27,3,973,0.003083,8.4674,named-subset,gsc-16m-all,pg_0025,0,19,false,,1
cl_0014,3m,2026-06-07,2026-09-06,31,3,957,0.003135,8.5749,named-subset,gsc-3m-q-cl_0014,pg_0025,0,19,false,,1
cl_0014,month,2026-08-10,2026-09-06,28,3,565,0.00531,8.7773,named-subset,gsc-month-all,pg_0025,0,19,false,,1
cl_0015,gsc-16m-all,2025-08-01,2026-09-06,38,1,394,0.002538,11.0777,named-subset,gsc-16m-all,pg_0026,1,490,false,,0
cl_0015,3m,2026-06-07,2026-09-06,46,1,402,0.002488,11.3821,named-subset,gsc-3m-q-cl_0015,pg_0026,1,490,false,,0
cl_0015,month,2026-08-10,2026-09-06,37,1,127,0.007874,10.8513,named-subset,gsc-month-all,pg_0026,1,156,false,,0
cl_0016,gsc-16m-all,2025-08-01,2026-09-06,16,0,529,0,46.0988,named-subset,gsc-16m-all,pg_0028,0,6,false,,1
cl_0016,3m,2026-06-07,2026-09-06,11,0,91,0,53.4931,named-subset,gsc-3m-q-cl_0016,pg_0028,0,6,false,,1
cl_0016,month,2026-08-10,2026-09-06,9,0,42,0,39.4298,named-subset,gsc-month-all,pg_0028,0,6,false,,1
cl_0017,gsc-16m-all,2025-08-01,2026-09-06,1,0,2,0,14.5,named-subset,gsc-16m-all,pg_0001,0,537,false,,0
cl_0017,3m,2026-06-07,2026-09-06,1,0,1,0,12,named-subset,gsc-3m-all,pg_0001,0,17,false,,0
cl_0017,month,2026-08-10,2026-09-06,0,,,,,named-subset,,pg_0001,0,1,false,,0
