page_id,url,window,window_start,window_end,clicks,impressions,ctr,position,truncated,export_id
pg_0001,https://www.orangejelly.co.uk/,gsc-16m-all,2025-08-01,2026-09-06,0,537,0,22.31,false,gsc-16m-all
pg_0006,https://www.orangejelly.co.uk/pub-marketing,gsc-16m-all,2025-08-01,2026-09-06,0,153,0,21.33,false,gsc-16m-all
pg_0009,https://www.orangejelly.co.uk/guides,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,17.67,false,gsc-16m-all
pg_0009,https://www.orangejelly.co.uk/licensees-guide,gsc-16m-all,2025-08-01,2026-09-06,0,645,0,36.67,false,gsc-16m-all
pg_0010,https://www.orangejelly.co.uk/results,gsc-16m-all,2025-08-01,2026-09-06,0,17,0,22.12,false,gsc-16m-all
pg_0014,https://www.orangejelly.co.uk/about,gsc-16m-all,2025-08-01,2026-09-06,0,32,0,61.56,false,gsc-16m-all
pg_0015,https://www.orangejelly.co.uk/contact,gsc-16m-all,2025-08-01,2026-09-06,0,19,0,82.68,false,gsc-16m-all
pg_0017,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,101,false,gsc-16m-all
pg_0019,https://www.orangejelly.co.uk/guides/quiz-night-101,gsc-16m-all,2025-08-01,2026-09-06,0,2,0,12.5,false,gsc-16m-all
pg_0019,https://www.orangejelly.co.uk/licensees-guide/quiz-night-101,gsc-16m-all,2025-08-01,2026-09-06,3,436,0.006881,13.7,false,gsc-16m-all
pg_0020,https://www.orangejelly.co.uk/guides/quiz-night-ideas,gsc-16m-all,2025-08-01,2026-09-06,0,17,0,13.71,false,gsc-16m-all
pg_0020,https://www.orangejelly.co.uk/licensees-guide/quiz-night-ideas,gsc-16m-all,2025-08-01,2026-09-06,25,1572,0.015903,16.05,false,gsc-16m-all
pg_0021,https://www.orangejelly.co.uk/licensees-guide/profitable-pub-food-menu-ideas,gsc-16m-all,2025-08-01,2026-09-06,1,621,0.00161,13.94,false,gsc-16m-all
pg_0022,https://www.orangejelly.co.uk/licensees-guide/cash-bingo-101,gsc-16m-all,2025-08-01,2026-09-06,7,1456,0.004808,10.81,false,gsc-16m-all
pg_0023,https://www.orangejelly.co.uk/guides/music-bingo-101,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,3.67,false,gsc-16m-all
pg_0024,https://www.orangejelly.co.uk/guides/social-media-strategy-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,9,0,34.78,false,gsc-16m-all
