export_id,device,clicks,impressions,ctr,position,scope,window_start,window_end,filter_type,filter_value,source_file
gsc-16m-all,Desktop,340,28251,0.012,15.34,property,2025-08-01,2026-09-06,none,,raw/gsc-16m-all/Devices.csv
gsc-16m-all,Mobile,550,27763,0.0198,9.41,property,2025-08-01,2026-09-06,none,,raw/gsc-16m-all/Devices.csv
gsc-16m-all,Tablet,14,736,0.019,11.73,property,2025-08-01,2026-09-06,none,,raw/gsc-16m-all/Devices.csv
gsc-3m-all,Desktop,173,15090,0.0115,14.13,property,2026-06-07,2026-09-06,none,,raw/gsc-3m-all/Devices.csv
gsc-3m-all,Mobile,335,16901,0.0198,8.64,property,2026-06-07,2026-09-06,none,,raw/gsc-3m-all/Devices.csv
gsc-3m-all,Tablet,7,448,0.0156,11.47,property,2026-06-07,2026-09-06,none,,raw/gsc-3m-all/Devices.csv
gsc-3m-q-cl_0004,Desktop,0,1420,0,19.43,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar|hospitality)\b.{0,25}\b(marketing|advertising|agency)|(marketing|advertising|instagram|facebook|content creation|paid social|social video)\b.{0,12}\bfor (pubs|bars))",raw/gsc-3m-q-cl_0004/Devices.csv
gsc-3m-q-cl_0004,Mobile,0,206,0,21.32,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar|hospitality)\b.{0,25}\b(marketing|advertising|agency)|(marketing|advertising|instagram|facebook|content creation|paid social|social video)\b.{0,12}\bfor (pubs|bars))",raw/gsc-3m-q-cl_0004/Devices.csv
gsc-3m-q-cl_0004,Tablet,0,8,0,22.12,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar|hospitality)\b.{0,25}\b(marketing|advertising|agency)|(marketing|advertising|instagram|facebook|content creation|paid social|social video)\b.{0,12}\bfor (pubs|bars))",raw/gsc-3m-q-cl_0004/Devices.csv
gsc-3m-q-cl_0007,Desktop,10,393,0.0254,12.35,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub )?quiz\b.{0,25}\b(night|round|format|question|answer|topic|scoring|prize|rule|idea)|picture round|quiz night)",raw/gsc-3m-q-cl_0007/Devices.csv
gsc-3m-q-cl_0007,Mobile,5,290,0.0172,9.49,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub )?quiz\b.{0,25}\b(night|round|format|question|answer|topic|scoring|prize|rule|idea)|picture round|quiz night)",raw/gsc-3m-q-cl_0007/Devices.csv
gsc-3m-q-cl_0007,Tablet,0,4,0,5,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub )?quiz\b.{0,25}\b(night|round|format|question|answer|topic|scoring|prize|rule|idea)|picture round|quiz night)",raw/gsc-3m-q-cl_0007/Devices.csv
gsc-3m-q-cl_0008,Desktop,2,921,0.0022,11.79,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|music|cash) bingo|bingo\b.{0,20}\b(pub|night|licence|equipment|idea))",raw/gsc-3m-q-cl_0008/Devices.csv
gsc-3m-q-cl_0008,Mobile,4,441,0.0091,9.17,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|music|cash) bingo|bingo\b.{0,20}\b(pub|night|licence|equipment|idea))",raw/gsc-3m-q-cl_0008/Devices.csv
gsc-3m-q-cl_0008,Tablet,0,12,0,8.67,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|music|cash) bingo|bingo\b.{0,20}\b(pub|night|licence|equipment|idea))",raw/gsc-3m-q-cl_0008/Devices.csv
gsc-3m-q-cl_0009,Desktop,0,147,0,23.49,query-filter,2026-06-07,2026-09-06,query,+(?i)((pub|bar|gastropub) (food|menu)|profitable (menu|food|bar food)|menu (idea|profit|margin|cost|engineering)|food (gp|margin|cost)),raw/gsc-3m-q-cl_0009/Devices.csv
gsc-3m-q-cl_0009,Mobile,0,31,0,12.58,query-filter,2026-06-07,2026-09-06,query,+(?i)((pub|bar|gastropub) (food|menu)|profitable (menu|food|bar food)|menu (idea|profit|margin|cost|engineering)|food (gp|margin|cost)),raw/gsc-3m-q-cl_0009/Devices.csv
gsc-3m-q-cl_0009,Tablet,0,1,0,4,query-filter,2026-06-07,2026-09-06,query,+(?i)((pub|bar|gastropub) (food|menu)|profitable (menu|food|bar food)|menu (idea|profit|margin|cost|engineering)|food (gp|margin|cost)),raw/gsc-3m-q-cl_0009/Devices.csv
gsc-3m-q-cl_0010,Desktop,1,996,0.001,21.85,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar)\b.{0,20}\b(event|entertainment)|event ideas for (pub|bar)|pop[- ]?up event)",raw/gsc-3m-q-cl_0010/Devices.csv
gsc-3m-q-cl_0010,Mobile,3,569,0.0053,25.69,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar)\b.{0,20}\b(event|entertainment)|event ideas for (pub|bar)|pop[- ]?up event)",raw/gsc-3m-q-cl_0010/Devices.csv
gsc-3m-q-cl_0010,Tablet,0,72,0,23.99,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar)\b.{0,20}\b(event|entertainment)|event ideas for (pub|bar)|pop[- ]?up event)",raw/gsc-3m-q-cl_0010/Devices.csv
gsc-3m-q-cl_0012,Desktop,0,106,0,7.87,query-filter,2026-06-07,2026-09-06,query,+(?i)(fix my pub|struggling pub|pub turnaround|failing pub|quiet pub|empty pub|pub business support),raw/gsc-3m-q-cl_0012/Devices.csv
gsc-3m-q-cl_0012,Mobile,0,42,0,7,query-filter,2026-06-07,2026-09-06,query,+(?i)(fix my pub|struggling pub|pub turnaround|failing pub|quiet pub|empty pub|pub business support),raw/gsc-3m-q-cl_0012/Devices.csv
gsc-3m-q-cl_0013,Desktop,0,7,0,20,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar)\b.{0,20}\b(social media|instagram|facebook|tiktok)|social media (strategy|idea|post|content) for (pubs|bars))",raw/gsc-3m-q-cl_0013/Devices.csv
gsc-3m-q-cl_0013,Mobile,0,20,0,14.9,query-filter,2026-06-07,2026-09-06,query,"+(?i)((pub|bar)\b.{0,20}\b(social media|instagram|facebook|tiktok)|social media (strategy|idea|post|content) for (pubs|bars))",raw/gsc-3m-q-cl_0013/Devices.csv
gsc-3m-q-cl_0014,Desktop,1,678,0.0015,10.8,query-filter,2026-06-07,2026-09-06,query,+(?i)(cellar|beer (quality|line)|draught|keg|cask|line clean),raw/gsc-3m-q-cl_0014/Devices.csv
gsc-3m-q-cl_0014,Mobile,2,355,0.0056,8.05,query-filter,2026-06-07,2026-09-06,query,+(?i)(cellar|beer (quality|line)|draught|keg|cask|line clean),raw/gsc-3m-q-cl_0014/Devices.csv
gsc-3m-q-cl_0014,Tablet,0,7,0,5.71,query-filter,2026-06-07,2026-09-06,query,+(?i)(cellar|beer (quality|line)|draught|keg|cask|line clean),raw/gsc-3m-q-cl_0014/Devices.csv
gsc-3m-q-cl_0015,Desktop,1,175,0.0057,14.55,query-filter,2026-06-07,2026-09-06,query,"+(?i)(national\b.{0,20}\bday|drinks day|awareness day|promotion calendar)",raw/gsc-3m-q-cl_0015/Devices.csv
gsc-3m-q-cl_0015,Mobile,0,225,0,8.92,query-filter,2026-06-07,2026-09-06,query,"+(?i)(national\b.{0,20}\bday|drinks day|awareness day|promotion calendar)",raw/gsc-3m-q-cl_0015/Devices.csv
