export_id,query,query_norm,clicks,impressions,ctr,position,cluster_id,scope,level,completeness,truncated,window_start,window_end,reporting_country,search_type,filter_type,filter_value,source_file
gsc-16m-all,quiz night ideas,quiz night ideas,7,296,0.0236,6.86,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub ideas to make money,pub ideas to make money,7,162,0.0432,10.68,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub event ideas,pub event ideas,6,670,0.009,15.99,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub quiz ideas,pub quiz ideas,5,120,0.0417,10.87,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,oktoberfest ideas for bars,oktoberfest ideas for bars,3,18,0.1667,2.5,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,cask ale week 2026,cask ale week 2026,2,641,0.0031,6.5,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub bingo,pub bingo,2,624,0.0032,11.69,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,cash bingo,cash bingo,2,181,0.011,9.61,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,christmas event ideas for pubs,christmas event ideas for pubs,2,108,0.0185,17.73,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,how to run a pub quiz,how to run a pub quiz,2,72,0.0278,5.9,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,how to run a bingo night in a pub,how to run a bingo night in a pub,2,54,0.037,4.83,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,themed quiz nights,themed quiz nights,2,53,0.0377,14.13,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,ideas for pub quiz rounds,ideas for pub quiz rounds,2,21,0.0952,19.95,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub quiz formats,pub quiz formats,2,16,0.125,11,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,social media marketing for pubs,social media marketing for pubs,1,573,0.0017,13.69,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub menu ideas,pub menu ideas,1,175,0.0057,15.33,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,fix my pub,fix my pub,1,159,0.0063,5.52,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub entertainment ideas,pub entertainment ideas,1,136,0.0074,13.58,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,pub events ideas,pub events ideas,1,108,0.0093,16.62,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,cellar management,cellar management,1,101,0.0099,10.58,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,ideas for pub events,ideas for pub events,1,94,0.0106,5.37,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,charity fundraising ideas for pubs,charity fundraising ideas for pubs,1,83,0.012,6.9,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,wetherspoons competitors,wetherspoons competitors,1,39,0.0256,9.36,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
gsc-16m-all,ideas for macmillan coffee morning,ideas for macmillan coffee morning,1,35,0.0286,19.91,,property,query,named-subset,true,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Queries.csv
