query,clicks,impressions,ctr,position,page,date_range
quiz night ideas,7,296,0.0236,6.86,,2025-08-01 to 2026-09-06
pub ideas to make money,7,162,0.0432,10.68,,2025-08-01 to 2026-09-06
pub event ideas,6,670,0.009,15.99,,2025-08-01 to 2026-09-06
pub quiz ideas,5,120,0.0417,10.87,,2025-08-01 to 2026-09-06
oktoberfest ideas for bars,3,18,0.1667,2.5,,2025-08-01 to 2026-09-06
cask ale week 2026,2,641,0.0031,6.5,,2025-08-01 to 2026-09-06
pub bingo,2,624,0.0032,11.69,,2025-08-01 to 2026-09-06
cash bingo,2,181,0.011,9.61,,2025-08-01 to 2026-09-06
christmas event ideas for pubs,2,108,0.0185,17.73,,2025-08-01 to 2026-09-06
how to run a pub quiz,2,72,0.0278,5.9,,2025-08-01 to 2026-09-06
how to run a bingo night in a pub,2,54,0.037,4.83,,2025-08-01 to 2026-09-06
themed quiz nights,2,53,0.0377,14.13,,2025-08-01 to 2026-09-06
ideas for pub quiz rounds,2,21,0.0952,19.95,,2025-08-01 to 2026-09-06
pub quiz formats,2,16,0.125,11,,2025-08-01 to 2026-09-06
social media marketing for pubs,1,573,0.0017,13.69,,2025-08-01 to 2026-09-06
pub menu ideas,1,175,0.0057,15.33,,2025-08-01 to 2026-09-06
fix my pub,1,159,0.0063,5.52,,2025-08-01 to 2026-09-06
pub entertainment ideas,1,136,0.0074,13.58,,2025-08-01 to 2026-09-06
pub events ideas,1,108,0.0093,16.62,,2025-08-01 to 2026-09-06
cellar management,1,101,0.0099,10.58,,2025-08-01 to 2026-09-06
ideas for pub events,1,94,0.0106,5.37,,2025-08-01 to 2026-09-06
charity fundraising ideas for pubs,1,83,0.012,6.9,,2025-08-01 to 2026-09-06
wetherspoons competitors,1,39,0.0256,9.36,,2025-08-01 to 2026-09-06
ideas for macmillan coffee morning,1,35,0.0286,19.91,,2025-08-01 to 2026-09-06
quiz ideas,1,33,0.0303,9.48,,2025-08-01 to 2026-09-06
oktoberfest ideas,1,31,0.0323,6.16,,2025-08-01 to 2026-09-06
pub quiz rounds ideas,1,28,0.0357,17.5,,2025-08-01 to 2026-09-06
quiz formats,1,20,0.05,9.75,,2025-08-01 to 2026-09-06
pub social media ideas,1,18,0.0556,5.5,,2025-08-01 to 2026-09-06
quiz format ideas,1,15,0.0667,11.27,,2025-08-01 to 2026-09-06
how to host a pub quiz,1,14,0.0714,9.86,,2025-08-01 to 2026-09-06
national drink days,1,13,0.0769,10.92,,2025-08-01 to 2026-09-06
quiz night format,1,13,0.0769,4.62,,2025-08-01 to 2026-09-06
pub quiz theme ideas,1,10,0.1,10.4,,2025-08-01 to 2026-09-06
pub chalkboard ideas,1,6,0.1667,5.83,,2025-08-01 to 2026-09-06
social club bingo rules,1,5,0.2,14.6,,2025-08-01 to 2026-09-06
pub theme night ideas uk,1,4,0.25,19,,2025-08-01 to 2026-09-06
pub quiz round themes,1,1,1,47,,2025-08-01 to 2026-09-06
event ideas for pubs,0,1358,0,18.08,,2025-08-01 to 2026-09-06
pub marketing,0,863,0,22.51,,2025-08-01 to 2026-09-06
pop up events for pubs,0,859,0,34.65,,2025-08-01 to 2026-09-06
kids craft pop up events for pubs,0,558,0,22.91,,2025-08-01 to 2026-09-06
how to organise events to attract families to pubs,0,525,0,16.82,,2025-08-01 to 2026-09-06
pub marketing agency,0,471,0,19.78,,2025-08-01 to 2026-09-06
bingo in pubs,0,451,0,11.67,,2025-08-01 to 2026-09-06
family friendly activities to increase pub footfall,0,389,0,33.7,,2025-08-01 to 2026-09-06
instagram services for pubs,0,334,0,9.1,,2025-08-01 to 2026-09-06
christmas pub ideas,0,328,0,15.86,,2025-08-01 to 2026-09-06
content creation for pubs,0,312,0,14.18,,2025-08-01 to 2026-09-06
paid social for pubs,0,292,0,10.85,,2025-08-01 to 2026-09-06
how to attract families to pubs,0,267,0,14.52,,2025-08-01 to 2026-09-06
marketing agency for pubs,0,243,0,22.29,,2025-08-01 to 2026-09-06
digital marketing for pubs,0,204,0,41.66,,2025-08-01 to 2026-09-06
charity night ideas in a pub,0,201,0,9.47,,2025-08-01 to 2026-09-06
craft events for pubs,0,194,0,24.75,,2025-08-01 to 2026-09-06
pub advertising,0,194,0,35.35,,2025-08-01 to 2026-09-06
facebook services for pubs,0,181,0,8.64,,2025-08-01 to 2026-09-06
boost pub revenue with events,0,166,0,34.83,,2025-08-01 to 2026-09-06
how to manage entertainment budgets for pubs,0,162,0,8.73,,2025-08-01 to 2026-09-06
social video services for pubs,0,158,0,25.63,,2025-08-01 to 2026-09-06
pub co branding,0,157,0,16.11,,2025-08-01 to 2026-09-06
content creation services for pubs,0,152,0,7.65,,2025-08-01 to 2026-09-06
how to create a pub menu,0,149,0,27.11,,2025-08-01 to 2026-09-06
instagram for pubs,0,146,0,12.95,,2025-08-01 to 2026-09-06
bar refurbishment,0,130,0,38.54,,2025-08-01 to 2026-09-06
pub fundraising ideas,0,120,0,8.78,,2025-08-01 to 2026-09-06
pub maintenance,0,111,0,79.41,,2025-08-01 to 2026-09-06
how to run a pub,0,107,0,44.14,,2025-08-01 to 2026-09-06
quiz event ideas,0,107,0,12.5,,2025-08-01 to 2026-09-06
agency for pubs,0,106,0,29.63,,2025-08-01 to 2026-09-06
fundraising ideas for pubs,0,106,0,10.72,,2025-08-01 to 2026-09-06
pun quiz calendar,0,103,0,26.2,,2025-08-01 to 2026-09-06
pub night fundraising ideas,0,98,0,15.62,,2025-08-01 to 2026-09-06
pub refurbishment,0,98,0,33.4,,2025-08-01 to 2026-09-06
how to manage a pub,0,96,0,45.22,,2025-08-01 to 2026-09-06
pub promotions that work,0,95,0,21.33,,2025-08-01 to 2026-09-06
pub cellar maintenance,0,93,0,24.88,,2025-08-01 to 2026-09-06
facebook for pubs,0,88,0,11.73,,2025-08-01 to 2026-09-06
national vodka day,0,86,0,11.45,,2025-08-01 to 2026-09-06
instagram marketing for pubs,0,79,0,9.34,,2025-08-01 to 2026-09-06
bar social media marketing,0,78,0,45.4,,2025-08-01 to 2026-09-06
christmas pub events ideas,0,78,0,22.21,,2025-08-01 to 2026-09-06
pub quiz themes,0,78,0,39.27,,2025-08-01 to 2026-09-06
pub quiz bonus round,0,77,0,28.03,,2025-08-01 to 2026-09-06
marketing agency for bars,0,75,0,45.85,,2025-08-01 to 2026-09-06
when is national vodka day,0,74,0,11,,2025-08-01 to 2026-09-06
brand partnership services for pubs,0,72,0,13.4,,2025-08-01 to 2026-09-06
pub insurance,0,72,0,32.74,,2025-08-01 to 2026-09-06
