Date,Clicks,Impressions,CTR,Position
2026-06-07,1,168,0.6%,12.8
2026-06-08,6,242,2.48%,12
2026-06-09,5,239,2.09%,10.4
2026-06-10,5,225,2.22%,9.5
2026-06-11,5,218,2.29%,11.3
2026-06-12,2,172,1.16%,12.6
2026-06-13,7,189,3.7%,11.2
2026-06-14,3,171,1.75%,12.3
2026-06-15,3,187,1.6%,12
2026-06-16,6,219,2.74%,11.3
2026-06-17,0,199,0%,14
2026-06-18,5,296,1.69%,16.6
2026-06-19,1,291,0.34%,13.5
2026-06-20,2,224,0.89%,14.6
2026-06-21,1,175,0.57%,15.5
2026-06-22,3,233,1.29%,16.8
2026-06-23,4,174,2.3%,11.9
2026-06-24,5,221,2.26%,11.2
2026-06-25,2,207,0.97%,12.1
2026-06-26,1,242,0.41%,12.1
2026-06-27,1,157,0.64%,13.6
2026-06-28,2,190,1.05%,11.7
2026-06-29,6,225,2.67%,11.8
2026-06-30,3,269,1.12%,10.9
2026-07-01,6,232,2.59%,11.2
2026-07-02,3,243,1.23%,11.9
2026-07-03,4,191,2.09%,12.1
2026-07-04,6,237,2.53%,13.5
2026-07-05,3,187,1.6%,13.2
2026-07-06,7,296,2.36%,16.1
2026-07-07,7,271,2.58%,12.1
2026-07-08,10,270,3.7%,12.3
2026-07-09,4,275,1.45%,11.8
2026-07-10,5,225,2.22%,13.4
2026-07-11,5,183,2.73%,14.7
2026-07-12,2,204,0.98%,13.2
2026-07-13,3,289,1.04%,12.2
2026-07-14,8,267,3%,10.2
2026-07-15,5,254,1.97%,13
2026-07-16,5,284,1.76%,10
2026-07-17,4,277,1.44%,11
2026-07-18,6,242,2.48%,11.8
2026-07-19,2,203,0.99%,10.1
2026-07-20,9,403,2.23%,14.9
2026-07-21,2,378,0.53%,12.7
2026-07-22,6,373,1.61%,10.9
2026-07-23,8,414,1.93%,10.8
2026-07-24,6,342,1.75%,14.2
2026-07-25,9,218,4.13%,12.5
2026-07-26,5,226,2.21%,10.3
2026-07-27,6,345,1.74%,11.5
2026-07-28,3,381,0.79%,10
2026-07-29,4,329,1.22%,9.6
2026-07-30,6,348,1.72%,10.1
2026-07-31,13,293,4.44%,10.9
2026-08-01,3,331,0.91%,11.4
2026-08-02,6,283,2.12%,10.3
2026-08-03,6,394,1.52%,11.4
2026-08-04,6,389,1.54%,9
2026-08-05,8,427,1.87%,9.5
2026-08-06,6,355,1.69%,10.3
2026-08-07,10,334,2.99%,9.7
2026-08-08,3,267,1.12%,11.8
2026-08-09,3,314,0.96%,10.1
2026-08-10,10,464,2.16%,10.2
2026-08-11,6,440,1.36%,9.9
2026-08-12,5,439,1.14%,10.9
2026-08-13,2,431,0.46%,10.5
2026-08-14,5,385,1.3%,9.8
2026-08-15,3,338,0.89%,12.6
2026-08-16,5,354,1.41%,10.6
2026-08-17,7,508,1.38%,13.4
2026-08-18,12,496,2.42%,9.2
2026-08-19,11,510,2.16%,11.5
2026-08-20,7,497,1.41%,9.8
2026-08-21,8,463,1.73%,10.3
2026-08-22,4,327,1.22%,11.5
2026-08-23,7,375,1.87%,9.8
2026-08-24,7,569,1.23%,9.3
2026-08-25,3,555,0.54%,10.1
2026-08-26,2,593,0.34%,9.6
2026-08-27,4,529,0.76%,8.7
2026-08-28,4,504,0.79%,9.1
2026-08-29,3,449,0.67%,10.2
2026-08-30,6,460,1.3%,10.4
2026-08-31,11,539,2.04%,11.4
2026-09-01,11,809,1.36%,8.4
2026-09-02,23,1302,1.77%,9.8
2026-09-03,16,1095,1.46%,12.8
2026-09-04,12,849,1.41%,11.4
2026-09-05,9,613,1.47%,12.4
2026-09-06,10,639,1.56%,11.2
