Top queries,Clicks,Impressions,CTR,Position
pub ideas to make money,7,127,5.51%,9.67
quiz night ideas,5,154,3.25%,6
oktoberfest ideas for bars,3,18,16.67%,2.5
cask ale week 2026,2,641,0.31%,6.5
pub bingo,2,608,0.33%,11.68
cash bingo,2,180,1.11%,9.62
christmas event ideas for pubs,2,94,2.13%,19.04
pub quiz ideas,2,62,3.23%,9.6
how to run a bingo night in a pub,2,52,3.85%,4.75
pub event ideas,1,157,0.64%,20.19
cellar management,1,94,1.06%,11.16
charity fundraising ideas for pubs,1,83,1.2%,6.9
how to run a pub quiz,1,51,1.96%,5.53
themed quiz nights,1,38,2.63%,13.24
ideas for macmillan coffee morning,1,35,2.86%,19.91
oktoberfest ideas,1,31,3.23%,6.16
wetherspoons competitors,1,29,3.45%,9.59
quiz ideas,1,27,3.7%,9.11
ideas for pub events,1,18,5.56%,12.39
national drink days,1,13,7.69%,10.92
pub quiz rounds ideas,1,13,7.69%,19.46
quiz format ideas,1,12,8.33%,9
pub quiz formats,1,11,9.09%,4.73
how to host a pub quiz,1,10,10%,5.9
ideas for pub quiz rounds,1,9,11.11%,20
pub quiz theme ideas,1,7,14.29%,8
pub chalkboard ideas,1,6,16.67%,5.83
quiz night format,1,5,20%,3
social club bingo rules,1,5,20%,14.6
event ideas for pubs,0,458,0%,20.68
bingo in pubs,0,439,0%,11.68
pop up events for pubs,0,390,0%,31.66
pub marketing,0,266,0%,22.16
how to organise events to attract families to pubs,0,229,0%,11.28
kids craft pop up events for pubs,0,226,0%,13.12
social media marketing for pubs,0,213,0%,16.56
charity night ideas in a pub,0,201,0%,9.47
family friendly activities to increase pub footfall,0,196,0%,36.57
how to attract families to pubs,0,176,0%,5.32
pub marketing agency,0,171,0%,20.31
craft events for pubs,0,166,0%,25.31
christmas pub ideas,0,140,0%,16.69
pub fundraising ideas,0,120,0%,8.78
fundraising ideas for pubs,0,106,0%,10.72
pub night fundraising ideas,0,98,0%,15.62
instagram for pubs,0,95,0%,16.22
paid social for pubs,0,93,0%,10.32
content creation for pubs,0,93,0%,12.33
national vodka day,0,86,0%,11.45
instagram services for pubs,0,84,0%,16.51
pub cellar maintenance,0,83,0%,24.25
marketing agency for pubs,0,82,0%,30.16
how to run a pub,0,80,0%,48.08
christmas pub events ideas,0,78,0%,22.21
when is national vodka day,0,74,0%,11
digital marketing for pubs,0,74,0%,34.68
pub advertising,0,73,0%,38.71
pub insurance,0,72,0%,32.74
content creation services for pubs,0,69,0%,6.01
pun quiz calendar,0,68,0%,27.53
how to manage entertainment budgets for pubs,0,67,0%,8.54
quiz event ideas,0,64,0%,11.92
facebook services for pubs,0,63,0%,13.71
how to manage a pub,0,63,0%,48.95
charity coffee morning,0,60,0%,20.28
fix my pub,0,59,0%,4.95
pub menu ideas,0,56,0%,18.14
how to create a pub menu,0,56,0%,31.18
instagram marketing for pubs,0,51,0%,8.35
national vodka day 2026,0,50,0%,3.4
pub events,0,50,0%,23.34
brand partnerships for pubs,0,47,0%,15.21
pub events ideas,0,46,0%,22.46
public toilet refurbishment,0,46,0%,34.83
empty pub,0,45,0%,7.58
cask ale week,0,45,0%,7.84
how to calculate vat for a pub business,0,45,0%,10.31
pub cellar management,0,45,0%,10.71
securing empty pub,0,44,0%,11.25
pubs showing the autumn internationals,0,43,0%,16.7
cash bingo rules,0,42,0%,7.43
pub co branding,0,42,0%,13.24
pub quiz themes,0,41,0%,25.1
pub insurance average cost,0,40,0%,11.45
pubs showing autumn internationals,0,39,0%,16.46
agency for pubs,0,39,0%,38.77
paid social services for pubs,0,38,0%,5.34
pub quiz format,0,37,0%,7.11
social video services for pubs,0,37,0%,26.32
social video for pubs,0,37,0%,27.38
pub entertainment ideas,0,34,0%,24.21
boost pub revenue with events,0,34,0%,60.26
is there vat on alcohol in pubs,0,33,0%,11.73
how long do pub quizzes last,0,31,0%,13.65
greene king cellar management,0,30,0%,16.23
pub maintenance,0,28,0%,89.32
ppc for pubs,0,27,0%,65.22
how to run a bingo night,0,26,0%,9.92
brand partnership services for pubs,0,26,0%,17.08
christmas party promotion,0,26,0%,20.42
pub business insurance,0,26,0%,28.46
coffee morning fundraising ideas,0,25,0%,13
pub quiz round ideas,0,24,0%,13.5
facebook for pubs,0,24,0%,19.12
how to start a pub,0,24,0%,53.79
drink days 2026,0,23,0%,7.96
pub quiz topics,0,22,0%,6.5
pub promotions that work,0,22,0%,12.18
how does a pub quiz work,0,21,0%,7.33
fundraising ideas for a bar,0,21,0%,9.43
fundraising coffee morning ideas,0,21,0%,12.1
increase footfall in pubs,0,21,0%,42.38
national drink days 2026,0,20,0%,6.5
pub vat,0,20,0%,9.1
how long is a pub quiz,0,20,0%,13.8
pub cash flow,0,20,0%,31
insurance for pubs,0,20,0%,32.45
quiz formats,0,19,0%,9.74
coffee morning fundraising ideashome and garden,0,19,0%,10.05
pub cellar,0,19,0%,10.68
national cocktail day uk,0,19,0%,23.05
do pubs charge vat,0,18,0%,7.89
pub music licence,0,18,0%,11.06
pub refurbishment opportunities,0,18,0%,31.33
m25 corridor marketing services,0,18,0%,75.44
what advice is there for first-time pub buyers?,0,17,0%,2.88
quiz night themes,0,17,0%,7.59
public house insurance,0,17,0%,42.29
hospitality content creation berkshire,0,17,0%,86.35
how to organise a pub quiz,0,16,0%,6.38
how to run a quiz night,0,16,0%,12.56
increase pub footfall with live music,0,16,0%,13.31
purchasing for pubs,0,16,0%,13.94
recruiting the right bar team,0,16,0%,15.44
pub ideas,0,16,0%,21.5
bar social media marketing,0,16,0%,22.31
tupe in a pub purchase: a practical guide for buyers in scotland,0,16,0%,22.44
what is included in pub insurance,0,16,0%,54.69
how many questions in a pub quiz,0,15,0%,7.53
rugby pub marketing,0,15,0%,15.67
vat on pubs,0,15,0%,15.87
national cocktail days,0,15,0%,21.87
kids entertainment for pubs,0,15,0%,36.47
octoberfest ideas,0,14,0%,6.79
is there vat on pub food,0,14,0%,16.21
how to own a pub,0,14,0%,48.64
pub refurbishments,0,14,0%,54.71
how to do a pub quiz,0,13,0%,8.85
small pub entertainment ideas,0,13,0%,9.15
how long does a pub quiz last,0,13,0%,23.31
pub insurance cover,0,13,0%,45.92
pub bingo rules,0,12,0%,8.92
what are some low-effort coffee morning ideas?,0,12,0%,9.75
pub loyalty scheme,0,12,0%,11.75
national drinks days,0,12,0%,12.08
pub cellar monitor,0,12,0%,15.83
pub marketing ideas,0,12,0%,17.08
public liability insurance for pubs,0,12,0%,33.17
cellar maintenance,0,12,0%,40.5
international vodka day 2026,0,11,0%,3.27
world vodka day 2026,0,11,0%,4.27
pub specials ideas,0,11,0%,4.55
vodka day 2026,0,11,0%,4.64
pub menu inspiration,0,11,0%,5.91
how do pub quizzes work,0,11,0%,7.64
vat on alcohol in pubs,0,11,0%,8.64
pub quiz subjects,0,11,0%,9.18
how much is a music licence for a pub,0,11,0%,10.55
oktoberfest pub,0,11,0%,12.82
tax season tips for pub owners,0,11,0%,19.09
national cocktail day,0,11,0%,22.09
pub night ideas,0,11,0%,37.73
bar refurbishment,0,11,0%,49.73
fundraising ideas for macmillan coffee morning,0,10,0%,6.4
