Date,Clicks,Impressions,CTR,Position
2026-06-07,0,11,0%,24.6
2026-06-08,0,30,0%,24.3
2026-06-09,0,8,0%,13.1
2026-06-10,0,14,0%,10
2026-06-11,0,8,0%,15.4
2026-06-12,0,12,0%,10.7
2026-06-13,0,17,0%,13.6
2026-06-14,0,12,0%,11.7
2026-06-15,0,12,0%,18.3
2026-06-16,0,15,0%,8.7
2026-06-17,0,9,0%,16
2026-06-18,0,16,0%,13.6
2026-06-19,0,10,0%,15.3
2026-06-20,0,18,0%,14.4
2026-06-21,0,9,0%,16.7
2026-06-22,0,26,0%,26.9
2026-06-23,0,5,0%,20.6
2026-06-24,0,14,0%,13.8
2026-06-25,0,5,0%,20
2026-06-26,0,12,0%,13.4
2026-06-27,0,14,0%,13.4
2026-06-28,0,12,0%,13.2
2026-06-29,0,8,0%,28.1
2026-06-30,0,12,0%,7.3
2026-07-01,0,12,0%,18.8
2026-07-02,0,18,0%,15.8
2026-07-03,0,14,0%,22.2
2026-07-04,0,25,0%,20.3
2026-07-05,0,14,0%,20.4
2026-07-06,0,42,0%,33.1
2026-07-07,0,16,0%,29.1
2026-07-08,0,20,0%,20.9
2026-07-09,0,11,0%,26.4
2026-07-10,0,24,0%,23.1
2026-07-11,0,14,0%,20.6
2026-07-12,0,16,0%,27.4
2026-07-13,0,20,0%,32.8
2026-07-14,0,18,0%,19.1
2026-07-15,0,12,0%,36.5
2026-07-16,0,13,0%,17.6
2026-07-17,0,10,0%,29.5
2026-07-18,0,30,0%,19.6
2026-07-19,0,10,0%,23.7
2026-07-20,0,34,0%,26.7
2026-07-21,0,19,0%,13.2
2026-07-22,0,25,0%,12.6
2026-07-23,0,13,0%,24
2026-07-24,0,23,0%,15.1
2026-07-25,0,13,0%,22
2026-07-26,0,15,0%,12.7
2026-07-27,0,16,0%,26.3
2026-07-28,0,13,0%,14.7
2026-07-29,0,16,0%,21.9
2026-07-30,0,23,0%,15
2026-07-31,0,12,0%,29.2
2026-08-01,0,38,0%,19.3
2026-08-02,0,13,0%,30.7
2026-08-03,0,30,0%,32.7
2026-08-04,0,9,0%,24.9
2026-08-05,0,24,0%,16.8
2026-08-06,0,9,0%,22.3
2026-08-07,0,16,0%,18.8
2026-08-08,0,22,0%,18.2
2026-08-09,0,14,0%,14.1
2026-08-10,0,18,0%,26.4
2026-08-11,0,23,0%,13.1
2026-08-12,0,15,0%,16.5
2026-08-13,0,20,0%,13.9
2026-08-14,0,10,0%,18.8
2026-08-15,0,29,0%,18.1
2026-08-16,0,11,0%,15.8
2026-08-17,0,43,0%,38.1
2026-08-18,0,9,0%,19.1
2026-08-19,0,24,0%,13.8
2026-08-20,0,11,0%,15
2026-08-21,0,25,0%,16.4
2026-08-22,0,19,0%,15.1
2026-08-23,0,25,0%,8
2026-08-24,0,20,0%,22.8
2026-08-25,0,18,0%,10.1
2026-08-26,0,22,0%,15.3
2026-08-27,0,15,0%,10.5
2026-08-28,0,14,0%,12.2
2026-08-29,0,31,0%,14.9
2026-08-30,0,19,0%,15.8
2026-08-31,0,46,0%,35.8
2026-09-01,0,13,0%,12
2026-09-02,0,27,0%,11.7
2026-09-03,0,17,0%,14.8
2026-09-04,0,25,0%,12.1
2026-09-05,0,21,0%,15.5
2026-09-06,0,19,0%,15.3
