Top queries,Clicks,Impressions,CTR,Position
christmas event ideas for pubs,2,94,2.13%,19.04
pub event ideas,1,157,0.64%,20.19
ideas for pub events,1,18,5.56%,12.39
event ideas for pubs,0,458,0%,20.68
pop up events for pubs,0,390,0%,31.66
kids craft pop up events for pubs,0,226,0%,13.12
christmas pub events ideas,0,78,0%,22.21
pub events,0,50,0%,23.34
pub events ideas,0,46,0%,22.46
pub entertainment ideas,0,34,0%,24.21
boost pub revenue with events,0,34,0%,60.26
small pub entertainment ideas,0,13,0%,9.15
bar event ideas,0,6,0%,25
bar entertainment ideas,0,5,0%,30.8
ideas for bar events,0,4,0%,42.75
event ideas for bars,0,4,0%,47.75
bar events ideas,0,4,0%,48.25
pub event,0,3,0%,21.67
weekly bar event ideas,0,2,0%,10
small bar event ideas for adults,0,2,0%,21
unique bar events,0,2,0%,43
pub entertainment,0,1,0%,3
bar events,0,1,0%,4
charity event ideas for pubs,0,1,0%,7
fun bar event ideas,0,1,0%,23
ideas for pub entertainment,0,1,0%,26
bar event ideas free,0,1,0%,29
bar events uk,0,1,0%,53
