Date,Clicks,Impressions,CTR,Position
2026-08-10,10,464,2.16%,10.2
2026-08-11,6,440,1.36%,9.9
2026-08-12,5,439,1.14%,10.9
2026-08-13,2,431,0.46%,10.5
2026-08-14,5,385,1.3%,9.8
2026-08-15,3,338,0.89%,12.6
2026-08-16,5,354,1.41%,10.6
2026-08-17,7,508,1.38%,13.4
2026-08-18,12,496,2.42%,9.2
2026-08-19,11,510,2.16%,11.5
2026-08-20,7,497,1.41%,9.8
2026-08-21,8,463,1.73%,10.3
2026-08-22,4,327,1.22%,11.5
2026-08-23,7,375,1.87%,9.8
2026-08-24,7,569,1.23%,9.3
2026-08-25,3,555,0.54%,10.1
2026-08-26,2,593,0.34%,9.6
2026-08-27,4,529,0.76%,8.7
2026-08-28,4,504,0.79%,9.1
2026-08-29,3,449,0.67%,10.2
2026-08-30,6,460,1.3%,10.4
2026-08-31,11,539,2.04%,11.4
2026-09-01,11,809,1.36%,8.4
2026-09-02,23,1302,1.77%,9.8
2026-09-03,16,1095,1.46%,12.8
2026-09-04,12,849,1.41%,11.4
2026-09-05,9,613,1.47%,12.4
2026-09-06,10,639,1.56%,11.2
