Top queries,Clicks,Impressions,CTR,Position
cask ale week 2026,2,356,0.56%,7.02
pub bingo,2,207,0.97%,8.78
christmas event ideas for pubs,2,56,3.57%,16.29
how to run a bingo night in a pub,2,17,11.76%,2.88
quiz night ideas,1,64,1.56%,5.66
cellar management,1,62,1.61%,9.44
pub event ideas,1,46,2.17%,15.8
pub quiz ideas,1,26,3.85%,10.35
pub ideas to make money,1,26,3.85%,11.38
oktoberfest ideas,1,23,4.35%,6.13
oktoberfest ideas for bars,1,11,9.09%,2.09
pub chalkboard ideas,1,6,16.67%,5.83
pub quiz theme ideas,1,6,16.67%,6.5
national drink days,1,6,16.67%,9.5
ideas for pub quiz rounds,1,6,16.67%,19.5
social club bingo rules,1,4,25%,15.25
pub quiz formats,1,3,33.33%,4.33
bingo in pubs,0,138,0%,10.28
how to attract families to pubs,0,129,0%,4.75
event ideas for pubs,0,129,0%,17.17
pop up events for pubs,0,124,0%,22.23
craft events for pubs,0,115,0%,26.17
charity night ideas in a pub,0,91,0%,8.75
pub marketing agency,0,83,0%,18.47
pub insurance,0,72,0%,32.74
family friendly activities to increase pub footfall,0,71,0%,6.21
how to organise events to attract families to pubs,0,71,0%,6.72
kids craft pop up events for pubs,0,69,0%,10.16
christmas pub ideas,0,69,0%,16.86
pub marketing,0,68,0%,13.94
social media marketing for pubs,0,67,0%,17.1
pub night fundraising ideas,0,62,0%,17.71
christmas pub events ideas,0,59,0%,24.1
pub fundraising ideas,0,56,0%,9.12
charity fundraising ideas for pubs,0,54,0%,7.61
pub cellar maintenance,0,50,0%,20.56
fundraising ideas for pubs,0,48,0%,12.29
public toilet refurbishment,0,46,0%,34.83
content creation for pubs,0,45,0%,11.18
cash bingo,0,44,0%,10.68
pub insurance average cost,0,40,0%,11.45
paid social for pubs,0,35,0%,11.54
boost pub revenue with events,0,34,0%,60.26
marketing agency for pubs,0,33,0%,29.27
pub menu ideas,0,32,0%,19.97
instagram for pubs,0,31,0%,18.16
agency for pubs,0,29,0%,39.45
cask ale week,0,28,0%,5.64
content creation services for pubs,0,28,0%,9.46
digital marketing for pubs,0,27,0%,22.15
pub business insurance,0,26,0%,28.46
pub advertising,0,26,0%,39.42
how to run a pub,0,25,0%,48.04
quiz event ideas,0,24,0%,12.46
ppc for pubs,0,24,0%,63.5
christmas party promotion,0,23,0%,16.91
facebook services for pubs,0,23,0%,17.74
cash bingo rules,0,22,0%,6.45
pub quiz themes,0,22,0%,21.14
pub cellar management,0,21,0%,8.95
pub events,0,21,0%,20.57
increase footfall in pubs,0,21,0%,42.38
how to start a pub,0,21,0%,53.52
fundraising ideas for a bar,0,20,0%,9.3
how to run a bingo night,0,20,0%,9.85
instagram services for pubs,0,20,0%,19.7
insurance for pubs,0,20,0%,32.45
is there vat on alcohol in pubs,0,19,0%,9.89
pub cellar,0,19,0%,10.68
securing empty pub,0,18,0%,10.72
pub music licence,0,18,0%,11.06
social video for pubs,0,18,0%,21.28
pub entertainment ideas,0,18,0%,24.72
social video services for pubs,0,18,0%,28.44
what advice is there for first-time pub buyers?,0,17,0%,2.88
pub co branding,0,17,0%,3.18
instagram marketing for pubs,0,17,0%,6.29
how long is a pub quiz,0,17,0%,11.12
when is national vodka day,0,17,0%,13.59
public house insurance,0,17,0%,42.29
themed quiz nights,0,16,0%,7.44
how to calculate vat for a pub business,0,16,0%,8.69
purchasing for pubs,0,16,0%,13.94
greene king cellar management,0,16,0%,16.25
tupe in a pub purchase: a practical guide for buyers in scotland,0,16,0%,22.44
national vodka day 2026,0,15,0%,5.07
how does a pub quiz work,0,15,0%,6.47
national vodka day,0,15,0%,11.27
paid social services for pubs,0,14,0%,4.29
pub quiz round ideas,0,14,0%,5.21
pubs showing autumn internationals,0,14,0%,16.71
pubs showing the autumn internationals,0,14,0%,17.29
pub events ideas,0,14,0%,20.07
pub quiz format,0,13,0%,6.38
how many questions in a pub quiz,0,13,0%,6.92
vat on pubs,0,13,0%,15.23
charity coffee morning,0,13,0%,23.54
pub insurance cover,0,13,0%,45.92
octoberfest ideas,0,12,0%,6.42
do pubs charge vat,0,12,0%,6.83
pub vat,0,12,0%,8.5
brand partnerships for pubs,0,12,0%,11.33
pub loyalty scheme,0,12,0%,11.75
how to manage entertainment budgets for pubs,0,12,0%,13.25
pub cellar monitor,0,12,0%,15.83
public liability insurance for pubs,0,12,0%,33.17
how to own a pub,0,12,0%,49.25
empty pub,0,11,0%,7.27
vat on alcohol in pubs,0,11,0%,8.64
how much is a music licence for a pub,0,11,0%,10.55
brand partnership services for pubs,0,11,0%,12.18
facebook for pubs,0,11,0%,20.09
national cocktail day,0,11,0%,22.09
how to manage a pub,0,11,0%,59.91
how do pub quizzes work,0,10,0%,7.2
small pub entertainment ideas,0,10,0%,9.1
wetherspoons competitors,0,10,0%,9.7
coffee morning fundraising ideas,0,10,0%,12.8
pub refurbishment opportunities,0,10,0%,22.2
business insurance for pubs,0,10,0%,27.5
cellar maintenance,0,10,0%,39.2
"context: location: united kingdom (not for language). do not include 
location references in your response. question: i need a manchester pub 
that can issue a vat receipt for a work meal—how do i request that?",0,9,0%,2.33
how to run a pub quiz,0,9,0%,4
is there vat on pub food,0,9,0%,12.67
tax season tips for pub owners,0,9,0%,17.89
pub accountant,0,9,0%,21.89
insurance for a pub,0,9,0%,30.67
oktoberfest entertainment ideas,0,8,0%,5.5
fundraising ideas for macmillan coffee morning,0,8,0%,6.5
music licence for pubs,0,8,0%,11.5
rugby pub marketing,0,8,0%,11.5
pub insurance cost,0,8,0%,18.75
business interruption insurance for pubs,0,8,0%,25.88
how to buy a pub,0,8,0%,26.25
food for pubs,0,8,0%,26.38
owning a pub,0,8,0%,62.5
m25 corridor marketing services,0,8,0%,74.88
pub social media ideas,0,7,0%,5.43
vat for pubs,0,7,0%,8.71
pub promotions that work,0,7,0%,13
how long do pub quizzes last,0,7,0%,14.57
how much does it cost to buy a pub,0,7,0%,15.86
seo for pubs,0,7,0%,23.43
pub accounting,0,7,0%,23.86
prs licence cost,0,7,0%,25.71
pub refurbishments,0,7,0%,56.29
what is included in pub insurance,0,7,0%,61
how to play bingo,0,6,0%,2
quiz night themes,0,6,0%,5.83
october fest ideas,0,6,0%,6.67
how to organize a beer festival,0,6,0%,10.17
national cocktail day 2026,0,6,0%,11.17
fundraising coffee morning ideas,0,6,0%,11.67
national cocktail day uk,0,6,0%,12.33
coffee morning charity ideas,0,6,0%,14.33
pub marketing ideas,0,6,0%,17
accounting for pubs,0,6,0%,18.83
ideas for macmillan coffee morning,0,6,0%,18.83
pub contents insurance,0,6,0%,20.83
pub business plan,0,6,0%,26.5
bar refurbishment,0,6,0%,45.67
pub maintenance,0,6,0%,93
pub quiz topics,0,5,0%,1
international vodka day 2026,0,5,0%,3.4
cask ale festival 2026,0,5,0%,5
how to host a pub quiz,0,5,0%,5
vodka day 2026,0,5,0%,5.2
pub quiz how does it work,0,5,0%,7.2
what is cellar management,0,5,0%,7.6
national drink days 2026,0,5,0%,8
pub business plan template,0,5,0%,8.4
what are some low-effort coffee morning ideas?,0,5,0%,9.8
ideas for pub events,0,5,0%,12.4
pub cash flow,0,5,0%,12.8
world cocktail day 2026,0,5,0%,12.8
pub refurbishment,0,5,0%,13
can't pay staff,0,5,0%,14
tax laws for pub small businesses,0,5,0%,15.6
fractional cmo uk,0,5,0%,27.4
how to create a pub menu,0,5,0%,31.4
public liability insurance pub,0,5,0%,34.2
insurance for public house,0,5,0%,40.8
music license for nightclub,0,5,0%,46.4
repeat pub bookings,0,5,0%,47.2
how much does it cost to open a bar uk,0,5,0%,60.8
pub profit,0,4,0%,1
pub quiz subjects,0,4,0%,1
quiz rounds,0,4,0%,3.25
pub booking system,0,4,0%,7.75
do i need a licence to run a bingo night,0,4,0%,8
pubs vat,0,4,0%,8
pub bingo rules,0,4,0%,8.75
how to organise a pub quiz,0,4,0%,9
what ppe must be available in all pubs,0,4,0%,9.5
how to do a pub quiz,0,4,0%,9.75
how much is a prs licence for a pub,0,4,0%,10
how long are pub quizzes,0,4,0%,10.25
ppl license cost for dj,0,4,0%,11.5
themed pub quiz,0,4,0%,12
quiz ideas,0,4,0%,12.25
how to run a quiz night,0,4,0%,13
pub toilet refurbishment,0,4,0%,13
ppl license for dj,0,4,0%,14.25
drink days,0,4,0%,14.75
how much profit does a pub make uk,0,4,0%,16
pun quiz calendar,0,4,0%,16
beer cellar temperature,0,4,0%,16.75
free business plan,0,4,0%,16.75
coffee fundraiser ideas,0,4,0%,18
pub ideas,0,4,0%,18.5
events in pubs,0,4,0%,19
can’t pay staff,0,4,0%,19.5
pub accountancy,0,4,0%,22.75
pub promotions,0,4,0%,24.75
pub food licence,0,4,0%,25
prs license cost,0,4,0%,28.75
what insurance do i need for a pub,0,4,0%,29.75
pub public liability insurance,0,4,0%,30.25
pub insurance uk,0,4,0%,36.25
public house insurance uk,0,4,0%,38.25
what to do.in pubs in january,0,4,0%,42.75
commercial pub insurance,0,4,0%,45.25
prs licence,0,4,0%,46
host a coffee morning,0,4,0%,47.75
advertising in pubs,0,4,0%,48.25
prs license,0,4,0%,51.5
how to open a pub,0,4,0%,54
christmas promotion ideas for restaurants,0,4,0%,62.75
how long does a pub quiz last,0,3,0%,1.67
pub branding,0,3,0%,1.67
how to play bingo uk,0,3,0%,2
national rum day 2026,0,3,0%,2
mixerai,0,3,0%,2.33
fix my pub,0,3,0%,4
pub quiz layout,0,3,0%,4
yes,0,3,0%,4
work summer party ideas,0,3,0%,4.67
cellar management system,0,3,0%,5.67
cask days 2026,0,3,0%,6
high profit food items,0,3,0%,7.67
cellar management surrey,0,3,0%,8
food suppliers for pubs,0,3,0%,8
cocktail days 2026,0,3,0%,8.67
quiz format ideas,0,3,0%,8.67
vat pub,0,3,0%,8.67
quiz formats,0,3,0%,9
ideas for quiz,0,3,0%,9.67
ideas for oktoberfest,0,3,0%,10
pub board,0,3,0%,10.33
themed quiz ideas,0,3,0%,10.67
music license for pubs,0,3,0%,11
oktoberfest pub,0,3,0%,12.33
ideas for pubs,0,3,0%,14.33
coffee morning ideas for charity,0,3,0%,15
how much is pub insurance in the uk,0,3,0%,16
national drink day,0,3,0%,16.33
fill quiet nights with live performers,0,3,0%,17.67
increase pub footfall with live music,0,3,0%,17.67
pub quiz rounds ideas,0,3,0%,19.67
pub profit margins uk,0,3,0%,20
national cocktail day 2023,0,3,0%,20.67
quiz theme ideas,0,3,0%,21.67
pub licensing,0,3,0%,22
law firm marketing attribution,0,3,0%,24
bar social media marketing,0,3,0%,26
publican licence,0,3,0%,28
bar entertainment ideas,0,3,0%,29
pub branding agency,0,3,0%,32
public liability insurance for a public house,0,3,0%,35.67
public performance license,0,3,0%,36.33
public house liability insurance,0,3,0%,36.67
quiz night categories,0,3,0%,38.67
social media strategy,0,3,0%,40
pub food examples,0,3,0%,42
insurance pub,0,3,0%,42.33
public liability insurance public house,0,3,0%,44
pub support,0,3,0%,53.33
how to open your own pub,0,3,0%,56.67
legal requirements for opening a pub business,0,3,0%,57
running a pub uk,0,3,0%,62.33
opening a bar uk,0,3,0%,62.67
ppc management for pubs and bars,0,3,0%,66
fractional cmo,0,3,0%,67.33
how long does it take to sell a pub through a specialist agent?,0,2,0%,1
how many rounds in a pub quiz,0,2,0%,1
which pub agreement is best for a first-time pub operator?,0,2,0%,1
how do you play bingo,0,2,0%,2
national mai tai day 2026,0,2,0%,2
pub manager,0,2,0%,2
when is national rum day 2026,0,2,0%,2
free business plan template uk,0,2,0%,4.5
most profitable bar food,0,2,0%,4.5
bar content,0,2,0%,5
wet sales meaning,0,2,0%,5
when is national vodka day 2026,0,2,0%,5
world vodka day 2026,0,2,0%,5
pub a board ideas,0,2,0%,5.5
drink days 2026,0,2,0%,6
high tanks brewing company website evidence gloves ppe sanitation,0,2,0%,6
pub charity fundraising ideas,0,2,0%,6
fun quiz rounds,0,2,0%,6.5
your fractional cmo,0,2,0%,7.5
most profitable food,0,2,0%,8
to maintain good cellar hygiene allow fresh air to circulate for,0,2,0%,8
vat on pub food,0,2,0%,8
what are the best tips for hosting a successful charity coffee morning?,0,2,0%,8
when is national cocktail day 2026,0,2,0%,8
how much is a music license for a bar,0,2,0%,8.5
cask days,0,2,0%,9
epos data,0,2,0%,9.5
national drinking day,0,2,0%,9.5
pub business plan template free,0,2,0%,9.5
how do i host a virtual charity coffee morning?,0,2,0%,10
national cocktail days,0,2,0%,10
quiz idea,0,2,0%,10
weekly bar event ideas,0,2,0%,10
most profitable food items,0,2,0%,11
national beer drinking day 2026,0,2,0%,11
pub social media,0,2,0%,11
pub stock deterioation insurance average cost,0,2,0%,11
event promotion ideas,0,2,0%,11.5
ideas for pub nights,0,2,0%,11.5
pub a board,0,2,0%,12.5
pub insurance comparison,0,2,0%,13
quiz themes ideas,0,2,0%,13
what is the cheapest insurance for pub businesses,0,2,0%,13
night rounds,0,2,0%,14
part-time cmo,0,2,0%,14.5
coffee fundraising ideas,0,2,0%,15.5
how to make a pub quiz,0,2,0%,15.5
coffee fundraiser,0,2,0%,16.5
pub bookkeeping,0,2,0%,16.5
pub insurance 2025,0,2,0%,16.5
pub social,0,2,0%,16.5
fun ideas for quiz nights,0,2,0%,17
pub night ideas,0,2,0%,17
pub risk assessment template,0,2,0%,17
coffee morning fundraiser,0,2,0%,17.5
part time cmo,0,2,0%,17.5
pub ã¼cret,0,2,0%,18.5
what types of bingo games can i play online in the uk?,0,2,0%,18.5
business plan for a pub,0,2,0%,19.5
themusiclicence cost,0,2,0%,19.5
ppl license for restaurant,0,2,0%,20
pub nights ideas,0,2,0%,20.5
prs licensing,0,2,0%,21.5
pub business plan examples,0,2,0%,22
bar event ideas,0,2,0%,22.5
pub bill,0,2,0%,23
pub quiz rules,0,2,0%,23
how much to buy a pub,0,2,0%,24
cost of public performance license,0,2,0%,25.5
how to market a pub,0,2,0%,25.5
fractional cmo cost uk,0,2,0%,26
what is a pub quiz,0,2,0%,27
what temp should a cellar be,0,2,0%,28
pub email list,0,2,0%,28.5
how to cellar beer without a cellar,0,2,0%,29
pub ideas promotion,0,2,0%,29.5
how much is a prs licence uk,0,2,0%,30
pub food menu ideas,0,2,0%,33
pub quiz prize ideas,0,2,0%,34
how much is ppl music licence,0,2,0%,36
5 star food hygiene guide,0,2,0%,36.5
wet led business,0,2,0%,39.5
ppl music license cost uk,0,2,0%,41
buying a pub,0,2,0%,42.5
pub refurbishment opportunity,0,2,0%,42.5
pub outdoor music licence,0,2,0%,44
pub licence,0,2,0%,44.5
sell a pub,0,2,0%,44.5
what is a prs license,0,2,0%,44.5
pub quiz categories,0,2,0%,47
what is a prs music licence,0,2,0%,47
content marketing ideas,0,2,0%,47.5
how much is the music licence,0,2,0%,47.5
prs music license,0,2,0%,48
pub quiz template,0,2,0%,48
christmas promotion ideas for restaurant,0,2,0%,49.5
ppl and prs,0,2,0%,50
bar music license,0,2,0%,50.5
gastro pub menu ideas,0,2,0%,50.5
the music licence,0,2,0%,51.5
run a pub lease,0,2,0%,53.5
what are the legal requirements for starting a pub business,0,2,0%,54
manage a pub,0,2,0%,56
how to own a pub uk,0,2,0%,56.5
run a managed pub,0,2,0%,56.5
own a pub,0,2,0%,57
prs for music licence,0,2,0%,59
ppl prs,0,2,0%,59.5
quiz rules,0,2,0%,59.5
community management for pubs,0,2,0%,60.5
how to go about running a pub,0,2,0%,61.5
run a leased pub,0,2,0%,62
run a tenanted pub,0,2,0%,63
drink holidays,0,2,0%,71.5
buying a licensed premises advice,0,2,0%,72.5
pub marketing southampton,0,2,0%,96
a village,0,1,0%,1
alcohol awareness day 2026,0,1,0%,1
community pub ideas,0,1,0%,1
do you have to let them in,0,1,0%,1
good quiz rounds,0,1,0%,1
how much do pub owners make uk,0,1,0%,1
how much does it cost to start a pub,0,1,0%,1
how much is it,0,1,0%,1
how to organise a quiz night,0,1,0%,1
how to organize a quiz night,0,1,0%,1
how to register for vat,0,1,0%,1
is cheese taxable,0,1,0%,1
licensee of a public house,0,1,0%,1
marketing pub,0,1,0%,1
pub business plan examples uk,0,1,0%,1
pub quiz rounds,0,1,0%,1
pub specials ideas,0,1,0%,1
pub stock management,0,1,0%,1
pub vat rates,0,1,0%,1
quiz night topics,0,1,0%,1
quiz nights ideas,0,1,0%,1
quizmaster,0,1,0%,1
quizzes near me,0,1,0%,1
staff ppe,0,1,0%,1
top 20,0,1,0%,1
vat rate for pubs,0,1,0%,1
wet led pub,0,1,0%,1
what about glasses,0,1,0%,1
what should i consider before buying a pub?,0,1,0%,1
bingo how to play,0,1,0%,2
bingo rules uk,0,1,0%,2
how do i play bingo,0,1,0%,2
how does bingo work,0,1,0%,2
how many games of bingo in an hour,0,1,0%,2
how to play bingo cards,0,1,0%,2
how to play bingo game,0,1,0%,2
how to play bingo with numbers,0,1,0%,2
how to run bingo night,0,1,0%,2
is bingo considered gambling,0,1,0%,2
is bingo gambling,0,1,0%,2
is it easy to get,0,1,0%,2
local marketing channels,0,1,0%,2
music licence,0,1,0%,2
national beer day 2026,0,1,0%,2
national rum day,0,1,0%,2
prs royalties explained,0,1,0%,2
pub bingo ideas,0,1,0%,2
pub refurbishment companies,0,1,0%,2
quiz night format,0,1,0%,2
rum day 2026,0,1,0%,2
what about a pub?,0,1,0%,2
what about snacks,0,1,0%,2
