observation_id,keyword_id,alias_group_id,source,lens,location,language,network,window_start,window_end,precision_mode,raw_text,value_low,value_high,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,currency,state,pulled_on,run_id,source_file,source_row
ob_000001,kw_000001,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,3
ob_000002,kw_000002,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,4
ob_000003,kw_000003,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,5
ob_000004,kw_000004,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,6
ob_000005,kw_000005,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,7
ob_000006,kw_000006,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,8
ob_000007,kw_000007,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,9
ob_000008,kw_000008,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,10
ob_000009,kw_000009,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,11
ob_000010,kw_000010,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-01-family-and-kids.csv,12
ob_000011,kw_000011,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-02-marketing-services.csv,3
ob_000012,kw_000012,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,,,,,,,,,,GBP,absent,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-02-marketing-services.csv,4
ob_000013,kw_000013,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,50.0,10,100,0,0,Medium,57,,,GBP,returned,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-02-marketing-services.csv,5
ob_000014,kw_000014,,volumes,country,United Kingdom,English,Google Search,2025-07-01,2026-06-30,encoded_band,50.0,10,100,-1,0,,,,,GBP,returned,2026-08-09,2026-08-09-01-legacy,raw/gkp-volumes-02-marketing-services.csv,6
