keyword_id,canonical_text,submitted_text,intent,brand_flag,eligibility,avoid_reason,avoid_scope,lifecycle,sources,primary_cluster_id,secondary_cluster_ids,first_seen_run,last_seen_run,notes
kw_000001,attract families to pub,attract families to pub,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000002,children's entertainment for pubs,children's entertainment for pubs,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000003,family friendly pub ideas,family friendly pub ideas,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000004,family pub marketing,family pub marketing,commercial,false,eligible,,,candidate,volumes,cl_0004,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000005,kids activities in pubs,kids activities in pubs,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000006,kids craft events pub,kids craft events pub,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000007,kids eat free pub,kids eat free pub,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000008,pub family day ideas,pub family day ideas,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000009,pub soft play area,pub soft play area,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000010,school holiday pub events,school holiday pub events,informational,false,eligible,,,candidate,volumes,cl_0010,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000011,content creation for hospitality,content creation for hospitality,,false,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000012,freelance pub marketing,freelance pub marketing,commercial,false,eligible,,,candidate,volumes,cl_0004,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000013,hospitality marketing agency uk,hospitality marketing agency uk,commercial,false,eligible,,,candidate,volumes,cl_0004,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000014,marketing for bars and restaurants,marketing for bars and restaurants,commercial,false,eligible,,,candidate,volumes,cl_0004,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000015,pub advertising services,pub advertising services,commercial,false,eligible,,,candidate,volumes,cl_0004,,2026-08-09-01-legacy,2026-09-08-01-setup,
kw_000016,pub marketing agency,pub marketing agency,commercial,false,eligible,,,candidate,volumes|gsc,cl_0004,,2026-08-09-01-legacy,2026-09-08-01-setup,
