query_text,keyword_id,candidate_cluster_ids,resolution_cluster_id,resolution_method,resolved_at
bar social media marketing,kw_003327,cl_0004|cl_0013,,,
best hospitality website design,kw_002768,cl_0001|cl_0003,,,
best pub website,kw_002771,cl_0001|cl_0003,,,
best solicitor websites,kw_002593,cl_0001|cl_0006,,,
best website booking system,kw_001451,cl_0001|cl_0002,,,
booking software for website,kw_001376,cl_0001|cl_0002,,,
booking system for my website,kw_001472,cl_0001|cl_0002,,,
build a website with booking system,kw_002920,cl_0001|cl_0002,,,
build website with booking system,kw_002955,cl_0001|cl_0002,,,
certified management accountant website,kw_002596,cl_0001|cl_0006,,,
certified public accountant website,kw_002525,cl_0001|cl_0006,,,
consultancy website theme,kw_002600,cl_0001|cl_0006,,,
cost accountant website,kw_002605,cl_0001|cl_0006,,,
find a solicitor website,kw_002635,cl_0001|cl_0006,,,
free booking software for website,kw_001928,cl_0001|cl_0002,,,
free online booking system for my website,kw_002121,cl_0001|cl_0002,,,
free website booking system,kw_001109,cl_0001|cl_0002,,,
free website with booking system,kw_001085,cl_0001|cl_0002,,,
hospitality website design,kw_002763,cl_0001|cl_0003,,,
hospitality website development,kw_002774,cl_0001|cl_0003,,,
hotel booking system for website,kw_001539,cl_0001|cl_0002,,,
hotel website booking system,kw_001816,cl_0001|cl_0002,,,
online booking calendar for website,kw_001296,cl_0001|cl_0002,,,
online booking engine for website,kw_002192,cl_0001|cl_0002,,,
online booking system for website,kw_001354,cl_0001|cl_0002,,,
pub cellar maintenance,kw_003973,cl_0014|cl_0016,,,
pub social media agency,kw_000017,cl_0004|cl_0013,,,
pub website design,kw_002762,cl_0001|cl_0003,,,
pub websites,kw_002770,cl_0001|cl_0003,,,
restaurant booking system website,kw_002299,cl_0001|cl_0002,,,
restaurant website design cost,kw_002766,cl_0001|cl_0003,,,
restaurant website design uk,kw_002778,cl_0001|cl_0003,,,
solicitor comparison website,kw_002497,cl_0001|cl_0006,,,
solicitor review website,kw_002735,cl_0001|cl_0006,,,
tax accountant website,kw_002502,cl_0001|cl_0006,,,
the accountant website,kw_002747,cl_0001|cl_0006,,,
website appointment booking system,kw_001139,cl_0001|cl_0002,,,
website booking software,kw_003095,cl_0001|cl_0002,,,
website booking system,kw_000974,cl_0001|cl_0002,,,
website booking system software,kw_002009,cl_0001|cl_0002,,,
website builder with booking system,kw_003089,cl_0001|cl_0002,,,
website calendar booking system,kw_001279,cl_0001|cl_0002,,,
website with booking system,kw_002918,cl_0001|cl_0002,,,
wix website booking system,kw_001562,cl_0001|cl_0002,,,
