Top queries,Clicks,Impressions,CTR,Position
pub ideas to make money,8,170,4.71%,11.47
quiz night ideas,7,331,2.11%,7.51
pub event ideas,6,744,0.81%,16.06
pub quiz ideas,5,174,2.87%,11.23
oktoberfest ideas for bars,5,48,10.42%,4.42
quiz night format,3,145,2.07%,29.38
how to run a pub quiz,3,121,2.48%,11.34
pub:instagram,3,91,3.3%,8.38
how to run a bingo night in a pub,3,50,6%,5.14
pub bingo,2,518,0.39%,12.83
cash bingo,2,167,1.2%,9.48
themed quiz nights,2,50,4%,14.96
ideas for pub quiz rounds,2,36,5.56%,20.72
pub quiz rounds ideas,2,30,6.67%,15.93
pub quiz formats,2,26,7.69%,8.69
oktoberfest ideas,2,21,9.52%,6.57
social media marketing for pubs,1,564,0.18%,12.55
cask ale week 2026,1,413,0.24%,6.49
pub menu ideas,1,168,0.6%,14.62
fix my pub,1,161,0.62%,5.51
pub entertainment ideas,1,147,0.68%,11.81
pub events ideas,1,129,0.78%,15.94
ideas for pub events,1,126,0.79%,7.21
most profitable bar food,1,118,0.85%,17.8
small pub entertainment ideas,1,104,0.96%,5.73
charity fundraising ideas for pubs,1,57,1.75%,6.49
pub quiz topics,1,42,2.38%,8.4
wetherspoons competitors,1,39,2.56%,10.08
quiz ideas,1,33,3.03%,9.48
ideas for macmillan coffee morning,1,30,3.33%,20.27
quiz format ideas,1,21,4.76%,9.33
quiz formats,1,19,5.26%,9.89
how to do a pub quiz,1,16,6.25%,12.06
how to host a pub quiz,1,16,6.25%,18.31
pub social media ideas,1,14,7.14%,6.57
national drink days,1,12,8.33%,10.92
best pub quiz rounds,1,7,14.29%,21.57
social club bingo rules,1,5,20%,14.6
pub theme night ideas uk,1,4,25%,19
pub quiz round themes,1,1,100%,47
event ideas for pubs,0,1317,0%,18.08
pub marketing,0,864,0%,20.8
pop up events for pubs,0,799,0%,35.46
national vodka day 2026,0,559,0%,7.16
kids craft pop up events for pubs,0,525,0%,23.63
how to organise events to attract families to pubs,0,486,0%,17.68
