Date,Clicks,Impressions,CTR,Position
2025-08-25,10,738,1.36%,28.8
2025-08-26,10,705,1.42%,31.3
2025-08-27,10,727,1.38%,31
2025-08-28,8,692,1.16%,29.1
2025-08-29,14,705,1.99%,30.6
2025-08-30,9,843,1.07%,26.3
2025-08-31,12,908,1.32%,27.8
2025-09-01,14,789,1.77%,34
2025-09-02,13,636,2.04%,31.3
2025-09-03,6,677,0.89%,33.1
2025-09-04,13,734,1.77%,30.8
2025-09-05,10,746,1.34%,31.4
2025-09-06,9,992,0.91%,21.4
2025-09-07,17,893,1.9%,24.4
2025-09-08,5,647,0.77%,30.5
2025-09-09,14,654,2.14%,28.7
2025-09-10,6,609,0.99%,33.1
2025-09-11,8,501,1.6%,22.6
2025-09-12,11,540,2.04%,19.6
2025-09-13,10,510,1.96%,10.3
2025-09-14,18,555,3.24%,11.3
2025-09-15,13,359,3.62%,14.3
2025-09-16,13,340,3.82%,11
2025-09-17,10,318,3.14%,9.4
2025-09-18,10,332,3.01%,11.8
2025-09-19,20,530,3.77%,10.4
2025-09-20,6,594,1.01%,10.7
2025-09-21,14,556,2.52%,10.3
2025-09-22,8,375,2.13%,12
2025-09-23,14,382,3.66%,14.2
2025-09-24,16,433,3.7%,14.4
2025-09-25,12,406,2.96%,11.2
2025-09-26,15,515,2.91%,14.2
2025-09-27,15,586,2.56%,12.9
2025-09-28,14,566,2.47%,12.3
2025-09-29,9,460,1.96%,12.9
2025-09-30,14,589,2.38%,14.4
2025-10-01,15,576,2.6%,11.1
2025-10-02,20,421,4.75%,11.2
2025-10-03,13,498,2.61%,12.1
2025-10-04,17,631,2.69%,11.7
2025-10-05,23,599,3.84%,12
2025-10-06,11,536,2.05%,12.4
2025-10-07,10,469,2.13%,11.3
2025-10-08,10,480,2.08%,11.3
2025-10-09,9,443,2.03%,13.6
2025-10-10,12,546,2.2%,12.5
2025-10-11,18,623,2.89%,13.8
2025-10-12,20,673,2.97%,12.8
2025-10-13,19,625,3.04%,16.7
2025-10-14,9,469,1.92%,17.6
2025-10-15,13,518,2.51%,15.7
2025-10-16,6,514,1.17%,15
2025-10-17,9,549,1.64%,14.2
2025-10-18,21,600,3.5%,15.2
2025-10-19,14,719,1.95%,16
2025-10-20,12,562,2.14%,15.6
2025-10-21,7,576,1.22%,17
2025-10-22,14,479,2.92%,16.7
2025-10-23,18,491,3.67%,15.5
2025-10-24,8,557,1.44%,14.5
2025-10-25,20,649,3.08%,12
2025-10-26,24,772,3.11%,11.5
2025-10-27,9,509,1.77%,11.3
2025-10-28,21,600,3.5%,12.7
2025-10-29,16,617,2.59%,11.2
2025-10-30,11,563,1.95%,12.6
2025-10-31,19,650,2.92%,11.6
2025-11-01,16,678,2.36%,12.7
2025-11-02,24,754,3.18%,12.6
2025-11-03,8,601,1.33%,10.5
2025-11-04,4,608,0.66%,13.8
2025-11-05,22,645,3.41%,12.1
2025-11-06,7,556,1.26%,14.9
2025-11-07,20,664,3.01%,12.3
2025-11-08,22,820,2.68%,11.2
2025-11-09,15,793,1.89%,12.1
2025-11-10,8,795,1.01%,14.5
2025-11-11,6,839,0.72%,12.1
2025-11-12,7,692,1.01%,14.8
2025-11-13,15,1008,1.49%,12.2
2025-11-14,22,760,2.89%,13.8
2025-11-15,19,945,2.01%,13.8
2025-11-16,13,702,1.85%,16.4
2025-11-17,10,605,1.65%,16.8
2025-11-18,11,695,1.58%,17.9
2025-11-19,10,756,1.32%,23.9
2025-11-20,8,890,0.9%,25.1
2025-11-21,15,656,2.29%,15
2025-11-22,9,724,1.24%,17.3
2025-11-23,14,743,1.88%,16.1
2025-11-24,12,638,1.88%,16.3
2025-11-25,12,730,1.64%,15.2
2025-11-26,11,570,1.93%,16.5
2025-11-27,13,577,2.25%,18.3
2025-11-28,11,612,1.8%,15.6
2025-11-29,13,731,1.78%,15
2025-11-30,16,726,2.2%,16.2
2025-12-01,15,564,2.66%,14.5
2025-12-02,11,610,1.8%,14.7
2025-12-03,15,530,2.83%,15
2025-12-04,21,595,3.53%,17.6
2025-12-05,15,546,2.75%,16.2
2025-12-06,11,602,1.83%,14.9
2025-12-07,23,782,2.94%,15.1
2025-12-08,7,594,1.18%,16.8
2025-12-09,10,708,1.41%,16.4
2025-12-10,7,584,1.2%,16.6
2025-12-11,13,594,2.19%,16.5
2025-12-12,12,564,2.13%,14.7
