Country,Clicks,Impressions,CTR,Position
United Kingdom,12399,460737,2.69%,13.96
United States,730,53902,1.35%,10.72
Canada,142,5595,2.54%,9.34
Australia,134,3783,3.54%,9.21
Germany,115,6048,1.9%,9.6
France,87,2658,3.27%,10.51
Spain,78,2640,2.95%,12.23
Ireland,69,2389,2.89%,11.65
Netherlands,67,4626,1.45%,7.99
Italy,60,3203,1.87%,11.54
Switzerland,45,1138,3.95%,7.4
India,43,4845,0.89%,11.83
Belgium,32,770,4.16%,7.45
Austria,31,482,6.43%,7.61
Sweden,29,918,3.16%,10.05
Cyprus,29,264,10.98%,7.59
Greece,28,860,3.26%,7.7
Japan,27,1010,2.67%,8.71
New Zealand,27,708,3.81%,10.39
Singapore,25,967,2.59%,8.22
Portugal,24,733,3.27%,7.93
Poland,23,882,2.61%,7.67
Hong Kong,23,848,2.71%,6.77
United Arab Emirates,22,767,2.87%,7.45
Denmark,21,597,3.52%,8.34
South Africa,20,909,2.2%,9.97
Finland,18,443,4.06%,6.73
Jersey,16,330,4.85%,6.28
Norway,15,708,2.12%,7.79
Isle of Man,14,241,5.81%,6
Malaysia,12,951,1.26%,11.26
Brazil,10,1896,0.53%,11.79
Thailand,10,683,1.46%,13.86
Hungary,9,310,2.9%,8.29
Qatar,9,252,3.57%,6.39
Luxembourg,9,152,5.92%,6.47
Egypt,8,375,2.13%,14.22
Romania,8,337,2.37%,7.8
Croatia,8,280,2.86%,7.74
Mexico,7,923,0.76%,11.74
Saudi Arabia,7,565,1.24%,15.38
Morocco,7,364,1.92%,14.99
Guernsey,7,248,2.82%,5.79
Turkey,6,865,0.69%,13
Czechia,6,489,1.23%,8.11
Israel,6,431,1.39%,13.05
Kenya,6,266,2.26%,8.1
Indonesia,5,1054,0.47%,15.85
Iceland,5,214,2.34%,6.83
Barbados,5,107,4.67%,7.44
Philippines,4,1089,0.37%,18.23
South Korea,4,573,0.7%,11.74
Argentina,4,505,0.79%,15.9
Colombia,4,409,0.98%,15.92
Albania,4,177,2.26%,8.72
Slovakia,4,121,3.31%,7.62
Costa Rica,4,94,4.26%,12.04
Gibraltar,4,62,6.45%,6.02
Pakistan,3,635,0.47%,15.09
Taiwan,3,240,1.25%,6.91
Malta,3,174,1.72%,6.76
Lithuania,3,93,3.23%,7.17
Slovenia,3,91,3.3%,13.56
Bahamas,3,89,3.37%,6.97
