Date,Clicks,Impressions,CTR,Position
2026-05-18,1,267,0.37%,12.7
2026-05-19,5,376,1.33%,10.3
2026-05-20,8,254,3.15%,13.3
2026-05-21,3,209,1.44%,13
2026-05-22,2,214,0.93%,14
2026-05-23,2,194,1.03%,14.1
2026-05-24,3,197,1.52%,16.2
2026-05-25,4,208,1.92%,14.5
2026-05-26,8,293,2.73%,12.4
2026-05-27,5,249,2.01%,11
2026-05-28,5,243,2.06%,11.6
2026-05-29,2,241,0.83%,10.5
2026-05-30,1,210,0.48%,11
2026-05-31,5,220,2.27%,10.2
2026-06-01,9,296,3.04%,10.1
2026-06-02,1,255,0.39%,9.8
2026-06-03,9,301,2.99%,10.9
2026-06-04,2,278,0.72%,9.2
2026-06-05,3,266,1.13%,9.5
2026-06-06,4,277,1.44%,11.5
2026-06-07,1,256,0.39%,11.3
2026-06-08,8,362,2.21%,10.4
2026-06-09,7,368,1.9%,9.1
2026-06-10,7,364,1.92%,9
2026-06-11,7,389,1.8%,10.2
2026-06-12,4,280,1.43%,11.1
2026-06-13,7,252,2.78%,10.6
2026-06-14,5,241,2.07%,11.3
