Country,Clicks,Impressions,CTR,Position
United Kingdom,97,5032,1.93%,11.93
United States,6,778,0.77%,9.94
Australia,5,177,2.82%,10.03
Germany,2,99,2.02%,6.83
South Africa,2,89,2.25%,10.9
Spain,2,61,3.28%,6.84
Netherlands,1,118,0.85%,7.01
Ireland,1,107,0.93%,8.79
New Zealand,1,96,1.04%,9.33
India,1,74,1.35%,9.57
Belgium,1,27,3.7%,9.44
France,1,18,5.56%,8.56
Mexico,1,18,5.56%,15.83
Austria,1,9,11.11%,3.89
Tunisia,1,7,14.29%,15
Tanzania,1,6,16.67%,7.67
Turkey,1,6,16.67%,11.5
Croatia,1,5,20%,5.8
Guernsey,1,3,33.33%,11
Mongolia,1,2,50%,1
Canada,0,78,0%,6.97
Philippines,0,58,0%,8.71
Italy,0,33,0%,6.85
Vietnam,0,29,0%,15.45
Japan,0,28,0%,6.82
Indonesia,0,25,0%,10
Malaysia,0,22,0%,8.77
Switzerland,0,21,0%,9.86
Brazil,0,21,0%,12.71
Iraq,0,21,0%,15.57
Argentina,0,20,0%,15.1
Pakistan,0,19,0%,17.32
United Arab Emirates,0,18,0%,9.5
Hong Kong,0,17,0%,7.65
Iran,0,16,0%,7.94
Singapore,0,15,0%,5.8
Sweden,0,14,0%,6.43
Cambodia,0,14,0%,9.5
Denmark,0,13,0%,5.77
China,0,13,0%,7.62
Czechia,0,12,0%,6.42
Saudi Arabia,0,12,0%,12.58
Romania,0,12,0%,13.17
Poland,0,11,0%,5.91
Thailand,0,11,0%,7.73
Bangladesh,0,11,0%,13.64
Greece,0,9,0%,6
South Korea,0,9,0%,10.89
Iceland,0,8,0%,5.88
Portugal,0,8,0%,6.12
Israel,0,8,0%,8.75
Kenya,0,8,0%,12.62
Nigeria,0,8,0%,19.75
Colombia,0,8,0%,28.5
Russia,0,7,0%,16.71
Ukraine,0,7,0%,18.29
Isle of Man,0,6,0%,3.67
Finland,0,6,0%,5
Bulgaria,0,6,0%,6
Jersey,0,6,0%,8.33
Uzbekistan,0,6,0%,29.67
Morocco,0,5,0%,10
Malta,0,5,0%,10
Nepal,0,5,0%,10.8
Taiwan,0,4,0%,5.25
Ghana,0,4,0%,6.5
Montenegro,0,4,0%,6.75
Egypt,0,4,0%,7.25
Hungary,0,4,0%,7.75
Sri Lanka,0,4,0%,8.25
Norway,0,4,0%,8.25
Barbados,0,4,0%,8.75
Jordan,0,4,0%,10.5
Kazakhstan,0,4,0%,16
Algeria,0,4,0%,17.25
Belize,0,3,0%,1
Slovenia,0,3,0%,1
Guatemala,0,3,0%,6.67
Bosnia & Herzegovina,0,3,0%,7
Cyprus,0,3,0%,7
Ecuador,0,3,0%,7
Uganda,0,3,0%,10
Jamaica,0,3,0%,13
Venezuela,0,3,0%,13.67
Syria,0,3,0%,18
Chile,0,3,0%,20.33
Qatar,0,2,0%,1
Zimbabwe,0,2,0%,1
Azerbaijan,0,2,0%,5.5
Palestine,0,2,0%,5.5
Tonga,0,2,0%,6
Serbia,0,2,0%,7
Rwanda,0,2,0%,8
Fiji,0,2,0%,9
St. Lucia,0,2,0%,10
Macedonia,0,2,0%,10
Congo - Kinshasa,0,2,0%,11
Bahrain,0,2,0%,17
Paraguay,0,2,0%,18
Bolivia,0,2,0%,20.5
Belarus,0,2,0%,23
Kuwait,0,2,0%,23.5
Afghanistan,0,2,0%,24
Nicaragua,0,2,0%,33
Brunei,0,1,0%,1
Estonia,0,1,0%,1
Faroe Islands,0,1,0%,1
Gibraltar,0,1,0%,1
Lesotho,0,1,0%,1
Slovakia,0,1,0%,1
Seychelles,0,1,0%,1
Turkmenistan,0,1,0%,1
Georgia,0,1,0%,5
Lithuania,0,1,0%,5
Bhutan,0,1,0%,6
Bahamas,0,1,0%,8
Puerto Rico,0,1,0%,8
Luxembourg,0,1,0%,9
Sudan,0,1,0%,9
Botswana,0,1,0%,10
Oman,0,1,0%,11
Somalia,0,1,0%,11
Latvia,0,1,0%,12
Solomon Islands,0,1,0%,12
Panama,0,1,0%,13
Dominican Republic,0,1,0%,21
Ethiopia,0,1,0%,23
Costa Rica,0,1,0%,27
Mauritius,0,1,0%,27
Uruguay,0,1,0%,37
