Date,Not indexed,Indexed,Impressions
2026-03-18,,,160
2026-03-19,,,141
2026-03-20,,,133
2026-03-21,92,80,132
2026-03-22,93,80,139
2026-03-23,93,80,148
2026-03-24,93,80,160
2026-03-25,88,83,196
2026-03-26,88,83,156
2026-03-27,88,83,132
2026-03-28,88,83,140
2026-03-29,88,83,123
2026-03-30,88,83,164
2026-03-31,88,83,166
2026-04-01,83,84,158
2026-04-02,83,84,156
2026-04-03,83,84,299
2026-04-04,83,84,132
2026-04-05,116,86,212
2026-04-06,116,86,264
2026-04-07,112,87,299
2026-04-08,112,87,240
2026-04-09,112,87,267
2026-04-10,112,87,296
2026-04-11,113,86,203
2026-04-12,113,86,300
2026-04-13,113,86,239
2026-04-14,115,84,182
2026-04-15,115,84,250
2026-04-16,115,84,194
2026-04-17,115,84,180
2026-04-18,112,85,174
2026-04-19,112,85,159
2026-04-20,112,85,195
2026-04-21,113,83,202
2026-04-22,113,83,223
2026-04-23,113,83,189
2026-04-24,113,83,181
2026-04-25,116,78,146
2026-04-26,116,78,176
2026-04-27,116,78,193
2026-04-28,133,59,176
2026-04-29,133,59,244
2026-04-30,133,59,190
2026-05-01,133,59,207
2026-05-02,135,56,149
2026-05-03,135,56,153
2026-05-04,135,56,172
2026-05-05,134,55,264
2026-05-06,134,55,259
2026-05-07,134,55,210
2026-05-08,134,55,231
2026-05-09,125,62,203
2026-05-10,125,62,206
2026-05-11,125,62,244
2026-05-12,113,71,232
2026-05-13,113,71,238
2026-05-14,113,71,217
2026-05-15,113,71,178
2026-05-16,110,71,214
2026-05-17,110,71,238
2026-05-18,110,71,267
2026-05-19,107,72,376
2026-05-20,107,72,254
2026-05-21,107,72,209
2026-05-22,107,72,214
2026-05-23,103,72,194
2026-05-24,103,72,197
2026-05-25,103,72,208
2026-05-26,101,72,293
2026-05-27,101,72,249
2026-05-28,101,72,243
2026-05-29,101,72,241
2026-05-30,115,69,210
2026-05-31,115,69,220
2026-06-01,115,69,296
2026-06-02,107,77,255
2026-06-03,107,77,301
2026-06-04,107,77,278
2026-06-05,107,77,266
2026-06-06,101,80,277
2026-06-07,101,80,256
2026-06-08,101,80,362
2026-06-09,105,77,368
2026-06-10,105,77,364
2026-06-11,105,77,389
2026-06-12,105,77,280
