query,clicks,impressions,ctr,position,page,date_range
quiz night ideas,3,76,0.0395,6.08,,collected 2026-07-07
pub quiz ideas,3,66,0.0455,7.3,,collected 2026-07-07
how to run a pub quiz,2,26,0.0769,6.15,,collected 2026-07-07
ideas for pub quiz rounds,2,10,0.2,8.4,,collected 2026-07-07
pub event ideas,1,83,0.012,16.57,,collected 2026-07-07
social media marketing for pubs,1,61,0.0164,13.43,,collected 2026-07-07
pub quiz topics,1,39,0.0256,6.85,,collected 2026-07-07
pub:instagram,1,31,0.0323,7.29,,collected 2026-07-07
quiz night format,1,30,0.0333,22.7,,collected 2026-07-07
quiz ideas,1,25,0.04,8.0,,collected 2026-07-07
ideas for pub events,1,19,0.0526,8.11,,collected 2026-07-07
pub quiz rounds ideas,1,13,0.0769,6.46,,collected 2026-07-07
themed quiz nights,1,11,0.0909,11.0,,collected 2026-07-07
cash bingo,1,9,0.1111,10.78,,collected 2026-07-07
pub quiz formats,1,7,0.1429,6.0,,collected 2026-07-07
how to run a bingo night in a pub,1,6,0.1667,5.83,,collected 2026-07-07
best pub quiz rounds,1,5,0.2,17.2,,collected 2026-07-07
how to host a pub quiz,1,2,0.5,22.5,,collected 2026-07-07
quiz formats,1,1,1.0,10.0,,collected 2026-07-07
event ideas for pubs,0,156,0.0,18.63,,collected 2026-07-07
pub marketing,0,144,0.0,19.97,,collected 2026-07-07
pop up events for pubs,0,108,0.0,39.01,,collected 2026-07-07
pub loyalty scheme,0,82,0.0,13.35,,collected 2026-07-07
kids craft pop up events for pubs,0,70,0.0,14.19,,collected 2026-07-07
pub loyalty cards,0,68,0.0,26.82,,collected 2026-07-07
how to organise events to attract families to pubs,0,66,0.0,24.98,,collected 2026-07-07
pub bingo,0,59,0.0,12.61,,collected 2026-07-07
bingo in pubs,0,51,0.0,11.06,,collected 2026-07-07
pub quiz format,0,44,0.0,12.45,,collected 2026-07-07
profitable menu items,0,44,0.0,21.66,,collected 2026-07-07
pub ideas to make money,0,42,0.0,9.43,,collected 2026-07-07
family friendly activities to increase pub footfall,0,34,0.0,53.09,,collected 2026-07-07
pun quiz calendar,0,33,0.0,20.15,,collected 2026-07-07
how to manage a pub,0,33,0.0,33.03,,collected 2026-07-07
christmas pub ideas,0,32,0.0,15.47,,collected 2026-07-07
how to run a pub,0,30,0.0,34.6,,collected 2026-07-07
fix my pub,0,29,0.0,5.31,,collected 2026-07-07
quiz event ideas,0,28,0.0,8.93,,collected 2026-07-07
how to increase midweek revenue for a pub or bar?,0,25,0.0,8.24,,collected 2026-07-07
pub quiz bonus round,0,24,0.0,21.79,,collected 2026-07-07
empty pub,0,23,0.0,8.39,,collected 2026-07-07
facebook services for pubs,0,22,0.0,7.86,,collected 2026-07-07
paid social for pubs,0,22,0.0,10.73,,collected 2026-07-07
instagram services for pubs,0,22,0.0,12.5,,collected 2026-07-07
craft events for pubs,0,21,0.0,21.0,,collected 2026-07-07
pub events ideas,0,19,0.0,18.32,,collected 2026-07-07
instagram for pubs,0,18,0.0,10.5,,collected 2026-07-07
pub entertainment ideas,0,18,0.0,16.33,,collected 2026-07-07
pub quiz round ideas,0,17,0.0,8.18,,collected 2026-07-07
pub quiz themes,0,17,0.0,18.88,,collected 2026-07-07
content creation for pubs,0,16,0.0,13.62,,collected 2026-07-07
instagram marketing for pubs,0,16,0.0,14.0,,collected 2026-07-07
pub cash flow,0,16,0.0,21.69,,collected 2026-07-07
friday pub quiz,0,15,0.0,3.4,,collected 2026-07-07
how to manage entertainment budgets for pubs,0,15,0.0,5.93,,collected 2026-07-07
facebook for pubs,0,15,0.0,11.2,,collected 2026-07-07
digital marketing for pubs,0,15,0.0,12.27,,collected 2026-07-07
bar staff incentive,0,15,0.0,19.0,,collected 2026-07-07
pub maintenance,0,15,0.0,91.4,,collected 2026-07-07
pub ideas,0,13,0.0,17.31,,collected 2026-07-07
social video services for pubs,0,13,0.0,18.08,,collected 2026-07-07
small pub entertainment ideas,0,12,0.0,9.67,,collected 2026-07-07
pub menu ideas,0,12,0.0,10.83,,collected 2026-07-07
show me images of quiz,0,12,0.0,17.92,,collected 2026-07-07
content creation services for pubs,0,11,0.0,2.0,,collected 2026-07-07
premiumisation in your pub,0,11,0.0,5.09,,collected 2026-07-07
social media freelancer for pubs,0,11,0.0,21.82,,collected 2026-07-07
wetherspoons competitors,0,10,0.0,7.7,,collected 2026-07-07
pub quiz subjects,0,9,0.0,8.56,,collected 2026-07-07
summer pub,0,9,0.0,9.33,,collected 2026-07-07
quiz night themes,0,9,0.0,10.0,,collected 2026-07-07
pub promotions that work,0,8,0.0,14.38,,collected 2026-07-07
how to organise a pub quiz,0,8,0.0,16.75,,collected 2026-07-07
most profitable bar food,0,8,0.0,19.0,,collected 2026-07-07
good pub quiz rounds,0,7,0.0,1.57,,collected 2026-07-07
marketing pub,0,7,0.0,9.71,,collected 2026-07-07
pub nights ideas,0,7,0.0,14.14,,collected 2026-07-07
digital marketing pub,0,7,0.0,14.43,,collected 2026-07-07
how long do pub quizzes last,0,7,0.0,16.0,,collected 2026-07-07
securing empty pub,0,6,0.0,11.17,,collected 2026-07-07
pub quiz rounds,0,6,0.0,16.67,,collected 2026-07-07
events for pubs,0,6,0.0,19.0,,collected 2026-07-07
pub events,0,6,0.0,23.83,,collected 2026-07-07
how long does a pub quiz last,0,6,0.0,25.0,,collected 2026-07-07
pub quiz categories,0,6,0.0,31.0,,collected 2026-07-07
running a pub,0,6,0.0,37.67,,collected 2026-07-07
quiz nights ideas,0,5,0.0,5.0,,collected 2026-07-07
which brands fail to drive repeat midweek visits?,0,5,0.0,5.8,,collected 2026-07-07
ideas for pub nights,0,5,0.0,11.6,,collected 2026-07-07
brand partnerships for pubs,0,5,0.0,12.4,,collected 2026-07-07
pub theme nights,0,5,0.0,22.0,,collected 2026-07-07
wet led business,0,5,0.0,23.4,,collected 2026-07-07
fun ideas for quiz nights,0,5,0.0,27.2,,collected 2026-07-07
social video for pubs,0,5,0.0,31.2,,collected 2026-07-07
pub refurbishments,0,5,0.0,44.6,,collected 2026-07-07
jelly pub,0,4,0.0,9.0,,collected 2026-07-07
marketing ideas for pubs,0,4,0.0,9.0,,collected 2026-07-07
brand partnership services for pubs,0,4,0.0,11.5,,collected 2026-07-07
pub bingo rules,0,4,0.0,11.75,,collected 2026-07-07
how to run a quiz night,0,4,0.0,12.0,,collected 2026-07-07
uk pub chains orange spritz summer 2026,0,4,0.0,12.5,,collected 2026-07-07
pub loyalty card,0,4,0.0,16.5,,collected 2026-07-07
ideas for pubs,0,4,0.0,19.5,,collected 2026-07-07
how to market a pub,0,4,0.0,25.75,,collected 2026-07-07
how to start a pub,0,4,0.0,35.25,,collected 2026-07-07
entertainment for pub,0,4,0.0,43.75,,collected 2026-07-07
entertaiment for pub,0,4,0.0,44.75,,collected 2026-07-07
how does a pub quiz work,0,3,0.0,5.0,,collected 2026-07-07
instagram pub,0,3,0.0,5.67,,collected 2026-07-07
premium pub,0,3,0.0,5.67,,collected 2026-07-07
pub menu inspiration,0,3,0.0,6.33,,collected 2026-07-07
cash bingo rules,0,3,0.0,6.67,,collected 2026-07-07
pub quiz layout,0,3,0.0,7.0,,collected 2026-07-07
quiz night round ideas,0,3,0.0,7.0,,collected 2026-07-07
how does a quiz night work,0,3,0.0,7.33,,collected 2026-07-07
