url,type,missing_required,missing_recommended,deprecated_or_retired,self_serving_review,rich_result_eligible,notes
https://www.orangejelly.co.uk/,ProfessionalService,,,no,no,no,unknown type for this validator (no required/recommended table for 'ProfessionalService')
https://www.orangejelly.co.uk/,ImageObject,,,no,no,no,unknown type for this validator (no required/recommended table for 'ImageObject')
https://www.orangejelly.co.uk/,Person,,,no,no,no,unknown type for this validator (no required/recommended table for 'Person')
https://www.orangejelly.co.uk/,ContactPoint,,,no,no,no,unknown type for this validator (no required/recommended table for 'ContactPoint')
https://www.orangejelly.co.uk/,PostalAddress,,,no,no,no,unknown type for this validator (no required/recommended table for 'PostalAddress')
https://www.orangejelly.co.uk/,GeoCoordinates,,,no,no,no,unknown type for this validator (no required/recommended table for 'GeoCoordinates')
https://www.orangejelly.co.uk/,WebSite,,potentialAction,no,no,no,
https://www.orangejelly.co.uk/,BreadcrumbList,,,no,no,yes,
https://www.orangejelly.co.uk/,ListItem,,,no,no,no,unknown type for this validator (no required/recommended table for 'ListItem')
https://www.orangejelly.co.uk/,FAQPage,,,yes,no,no,FAQ rich results are now limited to authoritative government/health sites (Aug 2023). Markup is still valid but most sites no longer earn a rich result.
https://www.orangejelly.co.uk/,Question,,,no,no,no,unknown type for this validator (no required/recommended table for 'Question')
https://www.orangejelly.co.uk/,Answer,,,no,no,no,unknown type for this validator (no required/recommended table for 'Answer')
https://www.orangejelly.co.uk/,Question,,,no,no,no,unknown type for this validator (no required/recommended table for 'Question')
https://www.orangejelly.co.uk/,Answer,,,no,no,no,unknown type for this validator (no required/recommended table for 'Answer')
https://www.orangejelly.co.uk/,Question,,,no,no,no,unknown type for this validator (no required/recommended table for 'Question')
https://www.orangejelly.co.uk/,Answer,,,no,no,no,unknown type for this validator (no required/recommended table for 'Answer')
https://www.orangejelly.co.uk/,Question,,,no,no,no,unknown type for this validator (no required/recommended table for 'Question')
https://www.orangejelly.co.uk/,Answer,,,no,no,no,unknown type for this validator (no required/recommended table for 'Answer')
https://www.orangejelly.co.uk/,WebPage,,,no,no,no,unknown type for this validator (no required/recommended table for 'WebPage')
https://www.orangejelly.co.uk/,SpeakableSpecification,,,no,no,no,unknown type for this validator (no required/recommended table for 'SpeakableSpecification')
