Date,Affected pages
2025-11-22,53
2025-11-23,54
2025-11-24,54
2025-11-25,54
2025-11-26,54
2025-11-27,54
2025-11-28,54
2025-11-29,54
2025-11-30,54
2025-12-01,54
2025-12-02,54
2025-12-03,54
2025-12-04,54
2025-12-05,54
2025-12-06,54
2025-12-07,54
2025-12-08,54
2025-12-09,54
2025-12-10,54
2025-12-11,54
2025-12-12,54
2025-12-13,54
2025-12-14,54
2025-12-15,54
2025-12-16,54
2025-12-17,54
2025-12-18,54
2025-12-19,54
2025-12-20,54
2025-12-21,54
2025-12-22,54
2025-12-23,54
2025-12-24,54
2025-12-25,54
2025-12-26,54
2025-12-27,54
2025-12-28,54
2025-12-29,54
2025-12-30,54
2025-12-31,54
2026-01-01,54
2026-01-02,54
2026-01-03,54
2026-01-04,54
2026-01-05,54
2026-01-06,54
2026-01-07,54
2026-01-08,54
2026-01-09,54
2026-01-10,54
2026-01-11,55
2026-01-12,55
2026-01-13,55
2026-01-14,53
2026-01-15,53
2026-01-16,53
2026-01-17,53
2026-01-18,53
2026-01-19,53
2026-01-20,53
2026-01-21,53
2026-01-22,53
2026-01-23,53
2026-01-24,53
2026-01-25,53
2026-01-26,53
2026-01-27,53
2026-01-28,51
2026-01-29,51
2026-01-30,51
2026-01-31,51
2026-02-01,51
2026-02-02,51
2026-02-03,51
2026-02-04,49
2026-02-05,49
2026-02-06,49
2026-02-07,49
2026-02-08,49
2026-02-09,49
2026-02-10,49
2026-02-11,49
2026-02-12,49
2026-02-13,49
2026-02-14,49
